stage,axial,blastomeres,endoderm,eye,fast_muscle,glial,mesenchyme,mural_cell,neural,paraxial_mesoderm,pericytes,slow_muscle
  3-4,0,16.08,0,0,0,0,0,0,0,0,0,0
  5-6,0,16.05,0,0,0,0,0,0,0,0,0,0
  7-9,5.33,0,4.22,0,0,0,0,0,12.18,12.77,0,0
 10-12,0,0,0,4.65,0,0,0,0,37.2,0,0,0
 14-21,0,0,0,0,0,0,0,0,0.97,0,0,0.87
 24-34,0,0,0,0,0,0,0,0,5.04,0,0,1.8
 36-46,0,0,0,0,0,0,0,0,9.06,0,0,7.37
 48-58,0,0,0,1.92,0,0,0,0,2.36,0,0,0.76
 60-70,0,0,0,0,0,0.6,3.56,0,7.32,0,0,2.65
 72-82,0,0,0,0,0,0,0,0,8.19,0,0.71,1.69
 84-94,0,0,0,0.7,0,0,0,2.38,6.18,0,0,0
 96-106,0,0,0,1.21,0,2.9,0,0,0,0,0,0
108-118,0,0,0,0,0.48,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,13.51,0,0,1.6
