stage,blastomeres,epidermis,erythrocytes,eye,glial,immune,iridophores,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  5-6,27.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,6.16,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,6.37,0,0,0,0,0,0,0,0,0,0
 14-21,0,0.88,1.19,3.18,1.13,0,0,0,0.95,0,1.14,17.28,0,0,0.86,0,2.38,1.88,0.85,5.64,9.06,0
 24-34,0,0.63,0,0.66,0.61,0,0,2.12,0,0,0.63,22.91,0,0.71,0,0,0,0,0,0,2.89,1.08
 36-46,0,0,0,3.93,2.83,0,0,0.88,0,0,0.65,19.75,0,0,0,0,0,0,0,0,7.01,0
 48-58,0,0,0,0.55,1.26,0,0,1.38,0,0,2.18,10.17,1.21,0.59,0,0,2.62,0,0,0,6.51,0
 60-70,0,1.68,0,1.87,0,0,0,3.55,0,0,4.76,17.53,0,0,0,0,1.69,0,0,0,3.34,0
 72-82,0,0,0,0.87,0.62,2.57,0.59,3.6,0,0,0,24.88,0,0,0,0,1.45,0,0,0,1.14,0
 84-94,0,0,0,0,0,0,0,7.44,0,0,0,13.84,0,0,0,0.6,1,0,0,0,0,0
 96-106,0,0,0,0.63,2.16,0,0,3.3,0,0.96,0,6.48,0,0,0,0,3.3,0,0,0,1.76,0
108-118,0,0.44,0,0.61,0,0,0,4.41,0,0,0,16.36,0,0,0,0,0,0,0,0,0,2.53
120,0,0,0,0,0,0,0,0,0,0,0,7.48,0,0,0,0,0,0,0,0,0,0
