stage,epidermis,eye,fin_epithelia,glial,heart,immune,ionocyte,lateral_line,mesenchyme,neural,olfactory,otic,periderm,taste
 24-34,0,0,0,0,0,0,0.59,0,0,0.88,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,3.76,0,0,9.07,0
 48-58,0,0,0,0.62,1.83,0,0,0,0,0,0,0,8.8,0
 60-70,2.25,0,0,0.6,0,0,0,0,0,0,0,0,0,0
 72-82,0,0.88,0,2.68,0,0,0,0,1.19,0,0,0,0.78,0
 84-94,4.33,0.91,0,0.59,0,0,0,0,0,0,0,0,0,0.61
 96-106,1.25,0,0,0.62,0,0.56,0,1,0,0,0,0,0.81,0
108-118,0,0,1,0,0,0,0,0,0,0,3.07,1.04,0,0
120,1.32,0,0,4.69,0,0,0,0,0,6.36,0,0,0,0
