stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,mesenchyme,mucous,muscle,neural,pericytes,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature
  5-6,17.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.08,0,0,0,0,0,0
 10-12,0,0,0,6.22,0,0,0,0,0,0,0,0,0,0,0,22.54,0,0,0,0,0,0
 14-21,0,2.89,1.11,0.81,0,0,0,0,0,0,0,0,0,0,1.11,3.49,0,6.57,7.89,1.92,2.25,0
 24-34,0,1.73,0,0,0,0,0,0,0,0,0,0,2.08,0,0,2.41,0,9.43,0,0,0,0
 36-46,0,4.62,0,0,0,0,0,0,0,0,0,0,0,0,0,1.62,0,30.82,0,0,0,0.62
 48-58,0,0.41,0,2.23,0,0,0.78,0,0,0,0,0,1.26,0,0,7.59,0,14.7,0,0,0,3.19
 60-70,0,0,0,0.64,1.25,0,2.15,0,0,0,0,0,2.11,0,0,0,0,22.34,0,0,0,0
 72-82,0,1.3,0,0,0,0,0,0,0,0.52,0.55,0,0.59,0,0,4.51,0,13.89,0,0,0,1.94
 84-94,0,2.04,0,1.46,0,0,1.09,0,0,3.28,0,0.88,7.44,0,0,5.49,1.59,33.5,0,0,0,0
 96-106,0,5.28,0,0,0,2.93,0.81,1.39,0,0,0,0,0,0,0,5.13,0,39.86,0,0,0,0.78
108-118,0,2.91,0,1.05,0.74,0,7.19,0,0,0,0,0,1.05,1.22,0,0,0,31.76,0,0,0,0
120,0,3.09,0,0,1.13,0,0,0,1.47,0,1.87,0,0,0,0,7.07,0,28.25,0,0,0,0
