stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,178.15,3395.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153.18,0,0,0,0,0,0,0,0,0,0
  5-6,74.04,1713.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.34,0,0,0,11.07,0,45.08,0,0,0,0,0,0,0,0,0,0
  7-9,20.37,9.74,0,0,0,0,27.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196.56,23.09,0,0,92.14,0,3.31,0,0,0,0,0,0,0,0,0,0
 10-12,0,29.96,32.23,0,0,0,94.92,0,0,0,0,0,8.39,0,0,0,0,0,0,0,0,0,0,758.15,29.59,0,0,319.38,0,0,8.92,20.66,0,0,0,0,0,0,0,0
 14-21,0,0,1.84,74.83,5.38,0,6.08,0,0.87,0,1.02,0,0,0,0,0,0,0,0,11.5,0,0,11.84,101.83,1.92,0,1.09,0.92,0,3.71,28.26,0,0,31.77,14.66,0,0,0,0,0
 24-34,0,0,1.12,65.08,0,0,8.09,0,39.01,0.72,0,0,0,0,0,0,0,0,0,27.47,0,0,26.58,89.67,0,1.71,2.42,0,0,0.6,0,0,0,7.51,13.51,0,0,1.77,0,0
 36-46,0,0,0,68.53,0,0,3.49,0,83.19,11.76,0,0,0,0,0,0,0.71,0,0,62.21,3.65,0,26.37,29.3,0,0,0,0,0,0.65,0,0,0,0,5.77,0,0,3.03,0,2.84
 48-58,0,0,0,70.47,0,0,17.41,0,92.24,9.92,3.64,2.75,0,0,0,0,0,0.97,1.92,84.46,0,0,21.23,23.61,0,0,1.16,0,0,1.61,0,0,0,0,6.49,0,0,0.68,0,5.42
 60-70,0,0,0,68.3,0,0,4.61,0,93.39,25.2,6.37,1.69,0,0.79,0,0,0,0,0,57.62,1.02,2.41,17.11,47.1,0,0,1.67,0,0,11.88,0,0,0,0,4.43,0,1,0,0,0
 72-82,0,0,0,51.4,1.12,0,20.32,0,99.97,14.24,12.33,3.4,0,0,0,0,0,0,4.55,204.48,0.58,1.89,15.82,43.87,0,1.37,0,0,2.36,18.73,0,0,0,0,0,0,1.23,0.84,0,10.17
 84-94,0,0,0.78,160.4,4.9,1.17,18.01,0.91,169.17,13.21,16.13,10.78,0,0,1.41,2.14,0,0,0,136.49,2.07,3.47,9.37,25.95,0,0,1.04,0,0,47.95,0,0,0,0,0,0,0,0,3.97,0
 96-106,0,0,0,109.06,3.72,0,30.41,3.01,170.84,26.24,15.96,7.43,0,0,1.47,0,0,0,0,227.38,3.25,3.8,18.35,27.86,0,0,0.8,0,5.27,65.2,0,0,0,0,7.76,2.03,2.8,2.07,2.14,0
108-118,0,0,0.44,191.07,1.73,1.73,16.42,1.99,235.14,35.83,35.73,10.1,0,0,0.42,1.74,0.42,0,3.48,335.79,7.52,1.72,17.18,71.26,1.1,0,0.91,0,7.71,75.48,0,0,0.5,0,1.73,0.52,0,3.44,2.05,5.1
120,0,0,0,205.37,0,0,19.93,5.49,170.81,6.7,3.06,7.24,0,0,5.46,1.65,0,0,0,295.88,4.61,13.94,37.2,76.81,0,13.79,0,0,0,74.26,0,0,0,0,0,0,0,0,0,0
