stage,axial,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,78.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.27,0,0,0,0,0,0,0,0,0,0
  5-6,11.51,234.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.63,0,0,0,7.96,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,347.3,0,0,0,0,0,0,0,7.73,0,0,0,0,0,0,0,0
 14-21,0,0,1526.79,0,0,0,0,0,0,0,0,0,0,0.94,0,4.25,0,0,16.52,1.65,0,0.84,2.92,7.46,0,14.58,0,0,1.79,1.09,0,5.13,1.16,0.98,0,0,0,0,0
 24-34,0,0,4453.92,1.53,0,32.97,0,39.07,0,1.18,0,0,0,0.73,1.32,35.17,0,1.23,80.73,67,0,3.8,159.43,11.52,7.26,34.95,0,0,12.84,0,0,0,1.33,25.99,0,0,16.55,0,3.3
 36-46,0,0,4535.05,0,0,16.77,0,136.29,0,8.85,0,1.05,0,6.62,0,59.67,0,0,146.14,51.1,0,9.17,207.5,14.26,6.26,91.09,0,1.69,7.98,0,0,0,0,33.86,0,0,1.78,0,4.02
 48-58,0.58,0,3943.88,0,0,112,2.02,177.79,1.45,10.71,0,0,1.11,0.39,0,31.38,0,5.86,307.98,37.59,0,4.82,226.66,2.17,3.22,79.79,0,0,4.18,0,0,0,0,45.88,0,0,1.1,0,1.08
 60-70,0,0,3917.64,0,0,119.22,0,181.31,1.48,15.42,3.41,0,0,0,0,21.76,0,0,436.26,67.71,0.88,8.22,135.64,0,5.34,84.68,0,0.96,2.45,0,0,0,0,9.71,0,0,0,4.39,24.08
 72-82,0,0,2630.95,3.56,0,129.05,0,168.44,3.24,4.23,0,0,0.69,0,0,25.15,6.91,0,365.59,43.1,1.07,5.09,76.83,2.7,3.62,102.43,1.13,0,6.13,0,0,2.51,0,27.25,0,0,5.89,0,3.4
 84-94,0,0,4596.94,0,0,89.51,0,331.06,0.73,13.26,0,0,1.55,0.86,0,29.47,2.76,0,217.42,52.07,0,2.85,63.74,0.84,8.54,121.38,0,0,3.63,0,1.74,0,0,5.71,0.56,0,2.39,5.06,0
 96-106,0,0,3159.9,6.32,0,580.85,1.21,234.68,0,3.49,2.05,1.63,10.12,0,0,14.72,0,0,190.23,46.75,0,4.9,68.17,0.87,10.55,83.57,0,0,3.54,0,0,2.09,0,0.75,0,4.16,2.96,3.41,0
108-118,0,0,2618.28,0,1.99,678.48,0,256.8,1.62,2.54,0,0,1.08,0,2.13,20.81,2.12,0,198.47,12.62,0.75,6.53,68.91,1,10.67,91.74,0,5.59,0.44,0,0,0,0,3,0,1.62,2.41,1.66,0
120,0,0,1253.25,0,0,1756.05,0,101.48,0,0,5.34,0,0,0,0,0,1.08,0,151.38,3.31,0,0,64.02,0,0,58.42,0,0,5.38,0,0,0,0,0,0,0,2.72,0,6.17
