stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,27.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.35,7.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,5.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.36,0,0,5.23,1.88,0,1.34,0,0,1.81,1.38,0,0,0,0,9.81,0,3.46,31.69,2.41,0,2.22,0,9.51,0.91,25.9,0,35.15,17.38,0,0,0,0
 24-34,0,0,0,0.74,9.38,0,0,2.07,0,0,0.92,0,1.52,0,0,0,1.45,0,2.76,20.94,0,0,0.69,0,42.83,0,0,0,0.87,6.32,0,1.08,0,0
 36-46,0,0,0,0,17.25,0,0,1.35,0,0,0.87,0,0.56,0,0.66,0,4.87,0,1.46,10.47,0,0.59,0.75,0,77.98,0,0,0,0,3.85,0,0,0,0
 48-58,0,0,0,0,7.13,0,0,2.93,1.82,0,1.67,0,0,0,0,0,3.23,0,5.17,17.06,0,0,0,0,48.39,0,0,0,0,3.32,0,0,0,6.84
 60-70,0,0,0,0,11.66,0,0,9.85,0,5.24,8,0.63,0.58,0,2.83,0,26.57,0,1.38,9.86,0,0.83,0,0,51.84,0,0,0,0,3.07,1.44,0,0,0
 72-82,0,0,5.92,0,21.74,0,0,4.88,0,0,21.32,0.64,3.23,0.72,0,0,49.35,0,0.69,24.29,0,0,0.81,0,26.61,0,0,0,0,1.37,5.45,1.79,0.91,0
 84-94,0,0,1.65,0,44.17,0,0,20.56,0,1.59,21.18,1.46,2.96,0,0.67,4.77,34.68,0,2.7,10.01,0,0,0,0,58.61,0,0,0,0,0.65,2.43,0,0,0
 96-106,0,0,1.1,0,70.64,0,0.97,5.11,2.44,3.06,26.5,10.55,3.16,0,1.51,0,30.79,0,1.29,22.24,0,4.1,0,0,33.96,0,0,0.78,0,3.1,7.78,0,0,0
108-118,0,0,0,0,80.22,0,0,8.24,0.53,1.27,44.06,1.8,3.51,5.43,9.09,0.54,38.59,0,4,39.54,0,2.51,0,5.28,33.88,0,0,0,0,0,12.91,0,0,0
120,0,0,0,0,57.45,0,0,0,0,0,17.39,8.35,2.1,0,2.94,0,69.22,2.14,0,61.78,0,2.3,0,1.79,34.5,0,0,0,0,0,2.69,0,0,0
