stage,axial,blastomeres,epidermis,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,mesenchyme,muscle,neural,paraxial_mesoderm,pericytes,presomitic_mesoderm,spinal_cord,vasculature
  3-4,46.29,116.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,30.67,0,0,0,0,0,0,0,0,0,18.15,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,43.27,4.87,0,0,0,0
 10-12,0,6.22,0,19.2,0,0,0,0,0,0,0,27.98,4.58,0,0,0,0
 14-21,0,0,1.25,0,0,0,0,0.84,0,2.44,0,4.93,0,0,2.33,0,0
 24-34,0,0,0.73,2.16,0,0,0,0,0,5.25,0,4.09,0,0,0,5.06,0
 36-46,0,0,0,0,0.99,0,0,0,0,3,0,16.04,0,0,0,2.04,0
 48-58,0,0,3.35,0.89,0,0,0.48,5.45,0,0,1.26,61.85,0,0.45,0,4.26,0
 60-70,0,0,1.15,6.02,0,0,0,1.31,0,3.16,0,58.51,0,0,0,1.28,0
 72-82,0,0,0,0,0,0,0,0.91,0.72,1.36,0,43.07,0,0,0,3.51,0
 84-94,0,0,0,0,0,3.54,0,0,0,5.67,0,35.91,0,0,0,2.58,0
 96-106,0,0,0.99,0.82,0,0,0.62,0,0,0,0,6.44,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,1.71,0,11.15,0,0,0,1.77,0.49
120,0,0,0,7.75,0,0,0,0,0,0,0,45.3,0,0,0,0,0
