stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,heart,immune,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,spinal_cord,vascular_smooth_muscle,visceral_smooth_muscle,xanthophores
  3-4,15.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,28.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.66,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,9.72,0,0,0,0,0,0,13.68,0,0,0
 24-34,0,0,0,0,1.71,0,0,0,0,0,0,0,0.77,0,0.74,104.71,0,0,0,0,0,0,64.16,0,0,0
 36-46,0,2.6,0,0,5.36,0,1.5,0,0,0,0,0,1.05,0,2.6,318.55,0,0,0,0,0,0,125.26,0,0,0
 48-58,0,6.68,0,0,18.46,0,4.26,0,0,2.48,0,0,2.17,7.44,0,478.46,0,0,0,0,0,0,105.8,0.85,0,6.79
 60-70,0,0,0,0,20.39,1.34,7.27,0,0.93,0,0,0,14.04,0,0,708,1.63,0,0,0,0,0,111.49,0,0,0
 72-82,0,2.98,0,0,55.15,1.55,16.87,0,0,0,0,1.65,4.87,1.56,0,978.85,0,0,1.5,0,0,1.91,104.14,0,0,0
 84-94,0,5.18,0,0,58.22,0,6.89,0,0,0,0,0,12.67,0,0,652.2,0,0,0,0,0,4.41,64.34,0,0,0
 96-106,0,1.92,0,0,59.8,0,15.4,1.07,0,0,0,0,7.41,1.41,0.76,603.98,0,0,0,0,0,0,37.98,1.03,0,7.56
108-118,0,0,1.23,0,58.61,0,17.29,0,0,0,0.6,0,9.28,0,0,676.09,2.3,1.92,0.96,0,0,0,28.37,0,1.03,0
120,0,17.58,0,14.01,27.14,0,23.76,1.08,0,0,0,0,10.33,0,0,1052.59,0,0,0,0,3.68,3.23,56.6,0,2.01,0
