stage,blastomeres,endoderm,eye,fin_mesenchyme,glial,lateral_line,mesenchyme,muscle,neural,notochord,periderm,taste
  3-4,32.82,0,0,0,0,0,0,0,0,0,12.22,0
  5-6,28.4,0,0,0,0,0,0,0,8.85,0,0,0
  7-9,0,3.45,4.53,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.54,0,0
 14-21,0,0,0,0,0,0,0,0,0.9,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.71,0
 36-46,0,0,0,0,0,0.6,0,0,0,0,0,0
 48-58,0,0,0,2.27,0.88,0,0.69,0,0,0,0,0
 60-70,0,0,0,0,0.69,0,1.95,0,0.91,0,0,0
 72-82,0,0,0,0,0,0,1.97,0,5.43,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,0.62
 96-106,0,0,0,0,2.39,1.24,4.17,0,0,0,1.25,0
108-118,0,0,0.56,0,0,0,1.34,0.95,1.47,0,0,0
