stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,17.22,367.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,396.76,0,0,0,0,0,0,0,0,0,0
  5-6,16.67,262.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,512.3,0,0,0,0,0,0,0,0,0,0
  7-9,0,14.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.14,0,0,0,15.74,55.5,10.29,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,14.01,0,0,3.27,0,0,0,0,0,0,0,0,0,0,0,122.36,11.07,0,0,3.62,6.87,0,0,12.79,0,0,0,0,0,0,0
 14-21,0,0,2.54,3.95,16.53,0.81,0,0,0,4.22,0,0,10.18,0.93,0,2,0,3.38,13.88,0,8.48,4.39,0,100.36,0,0.93,0,1.74,2.37,0,0,0,0,0
 24-34,0,0,0,0.74,4.59,0,1.59,2.61,0,0,0,0,6.6,3.72,0,0,2.25,0,23.05,0,16.82,3.63,0,206.33,0,0,1.39,0,3.4,0,0,0,0,0
 36-46,0,0,0,0.56,0.9,0,3.56,0,0,0.72,0,0,4.01,0,0,11.36,0,1.8,44.69,0,8.95,1.35,0,243.99,0,0,6.7,0,1.37,0,0,0.91,0,0
 48-58,0,0,0,0,8.66,0,4.88,4.16,0,0,2.84,0,3.09,2.28,0,1.27,3.3,0,46.99,0,5.49,0.41,0,129.48,0,0,0,0,1.71,0,0,0,0,0
 60-70,0,0,0,0,2.25,0,7.93,1.81,0,0,6.92,0,5.74,5.25,0,2.34,4.51,0,15.17,0,9.28,2.09,0,135.2,0,0,0.68,0,0,0,0,0,0,0
 72-82,0,0,1.29,0,11.81,0,8.54,0.63,2.86,3,1.75,0,2.55,2.4,0,0,0.56,1.17,27.04,0,22.86,1.07,0,111.32,0,0,0.57,0,6.57,1.82,0,0,0,6.97
 84-94,0,0,0,0,24.81,1.05,0.6,9.17,0.73,2.27,5.77,0.69,12.91,6.96,0,2.51,9,0,32.45,0,3.47,8.56,0,245.28,0,0,0,0,0,4.29,0,0,0,0
 96-106,0,0,0,0,28.65,0,13.69,3.28,1.14,14.06,0,0.65,13.35,8.93,0,2.5,0,1.99,23.2,0,17.88,14.31,0,253.91,0,0,0,0,0,5.3,0,0,1.67,5.9
108-118,0,0,4.02,0,41.8,0,6.49,4.2,0,4.52,0,0,13.53,3.68,0,4.27,4.08,0,20.14,0,14.82,10.86,0,181.37,0,0,0,0,0,13.02,2.13,0,0.72,0
120,0,0,0,4.41,34.97,0,0,16.25,0,10.31,0,0,25.46,1.54,4.74,0,18.46,0,15.82,0,17.67,15.45,0,195.2,0,0,1.13,0,0,17.56,0,0,0,0
