stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature
  3-4,48.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.74,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.26,0,0,14.56,0,0,0,0,4.35,0,0,0,0
 14-21,0,12.48,7.36,0,0,6.3,0,1.95,0,0,0,0,0,0,0.81,0,0,17.1,19.36,0,0.93,0,1.21,0,0,71.97,30.86,1.42,0,0,0.85
 24-34,0,34.56,0,1.67,0.75,97.44,0,5.3,0,0,0,3.16,3.78,0,10.9,0,0,11.41,71.66,1.13,12.63,0,10.11,0,0,20.05,20.69,9.1,0,0,0.6
 36-46,0,15.08,1.21,4.33,0,183.5,1.2,1.69,0,0.9,0,0,1.42,0,18.94,0,0,3.33,49.92,0,10.8,0,0,0,0.62,3.32,0,10.91,0,0,0.71
 48-58,0,22.32,0,10.71,0.67,200.7,0,4.12,0,0,0,0,0.9,0,16.03,0,0,4,44.65,0.58,25.21,0,0,0,0,0,0,5.64,0,0,0
 60-70,0,14.09,0,0,1.73,206.78,3.29,3.52,0,0,3.69,0.61,5.4,0,21.96,0,1.63,3.31,11.62,8.12,6.57,0,1.22,0,0,0,0,0.74,0,0,1.92
 72-82,0,7.91,0,0.57,7.1,163.52,0,4.7,0.64,0,0,0,0,0,27.7,0,0,2.07,4.67,0.53,8.89,0,0,0,0.76,0,0,0,0,0,0
 84-94,0,28.6,0,2.94,8.41,245.9,3.81,2.52,0,0,0,1.18,0,0,18.7,0,0,2.53,5.2,0,17.12,0,3.88,0,0,0,0,0,0.83,0,0
 96-106,0,11.66,0,15.12,0,156.64,10.18,3.63,1.45,0,2.2,0,2.87,0,22,0,0,14.24,8.97,0,33.59,0,1.01,0,0.82,0,0,4.3,0,1.22,2.9
108-118,0,16.71,0,5.68,0.64,270.38,0.64,7.63,2.14,0,0.54,3.25,0,0.53,14.29,1.27,0.72,12.26,6.64,7.26,11.55,0,0,0.42,0,0.68,0,0,0,0,1.03
120,0,25.59,0,0,1.06,133.86,0,7,0,0,0,0,0,0,16.04,0,0,15.3,1.52,2.41,20.87,0,0,0,0,0,0,0,0,0,0
