stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,50.25,312.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160.35,0,0,0,0,0,0,0,0,0
  5-6,67.16,443.56,0,37.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.08,0,0,0,6.17,0,157.47,0,0,0,0,0,0,0,0,0
  7-9,15.59,0,0,997.33,0,14.87,0,15.94,0,0,0,0,0,13.19,0,0,0,0,0,0,0,0,0,0,0,801.03,6.66,0,0,62.35,0,5.76,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,176.18,0,16.4,0,33.2,0,0,0,0,0,0,0,0,0,0,0,7.47,0,0,0,0,0,659.75,10.88,0,0,50.59,0,9.4,0,0,0,3.11,0,0,0,0,0
 14-21,0,0,3.83,9.85,14.53,1.49,0,0,0,0,0,0.84,5.75,0,0,9.06,0,0,0,370.44,0,0,0,0,0,4.34,3.23,0,0.94,0.85,0,183.82,3.71,202.44,0,0,45.5,0,0,0,0
 24-34,0,0,1.38,5.62,0.86,0.6,0,3.69,0,0,1.23,1.91,2.51,0,0.76,64.72,6.27,1.14,1.34,336.12,1.41,9.35,0.87,0.91,1.57,51.07,1.6,0,0.64,0,0,612.94,0,179.07,1.93,0,15.05,0,0,1.15,0
 36-46,0,0,1.35,0,13.18,0,0,6.31,1.1,2.43,0,0.77,0,0,0,42.91,0,2.64,1.15,175.96,7.34,14.65,10.92,0,0,79.45,17.25,0,0,0,0,825.42,0,212.24,9.91,0,22.75,0,0,1.53,0
 48-58,0,0,7.08,0,12.46,0,0,21.78,13.42,10.61,0.44,19.02,0,0,0,27.09,0,0,0,96.61,0,8.92,7.63,7.61,5.32,103.42,1.91,0,1.73,42.95,0,686.73,0,120.27,53.15,0,27.65,0,0,1.18,3.48
 60-70,0,0,1.8,0,9.18,0,0,32.05,2.07,18.54,1.58,45.01,0,0,0,51.61,0,0,1.71,107.14,0,26.81,5.55,23.05,3.39,50.57,0.71,0.79,5.48,0,0,745.46,0,88.39,7.83,0,25.09,0,0,10.2,8.13
 72-82,0,0,11.43,0,6.02,4.79,0,38.03,0,11.65,2.62,261.08,36.87,0,0,58.68,0.53,0,0,77.85,0,59.03,1.2,11.67,3.07,136.97,7.58,0,1.57,0,0,513.97,0,153.91,16.72,0,11.16,0,0,23.51,0
 84-94,0,0,12.9,0.76,12.92,1.88,0,53.93,10.12,29.25,9.2,252.54,69.33,0,0,96.86,13.23,2.29,0.9,46.38,0,47.94,1.48,0,5.03,87.71,10.08,0,5.4,0,0,1154.1,0,269.26,1.43,0,34.96,0,9.21,6.94,5.84
 96-106,0,0,29.34,2.49,35.46,25.78,0,126.96,25.73,70.98,2.36,398.32,319.26,0,0,117.9,4.66,0,0,138.33,0.86,47.88,9.58,9.23,11.09,189.28,27.21,2.91,16.01,0,0,929.9,0,323.95,3.05,0,18.94,4.64,1.87,7.65,2.66
108-118,0,0,22.13,1.47,42.44,1.67,1.78,285.49,1.47,44.4,6.79,555.6,580.42,0,0,79.28,9.3,0.43,0.44,72.41,0,49.86,6.79,5,3.42,129.61,66.09,2.17,24.29,0,2.83,558.91,0,404.14,0,0,37.63,1.3,0.82,7.7,0
120,1.12,0,48.39,0,29,0,0,354.83,3.85,16.68,1.98,445.71,597.81,0,0,155.54,5.36,0,0,100.59,0,34.34,1.31,4.22,1.06,254.01,230.99,7.7,9.7,0,0,446.19,1.12,316.5,4.18,0,38.1,0,0,2.97,0
