stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.01,10.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.8,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,121.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.8,0,0,0,30.45,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,4.1,0,16.58,0,21.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143.32,21.89,0,0,33.72,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,23.92,5.16,23.75,132.27,0,14.5,0,0,0,9.77,0.85,77.97,0,0,0,0,0,0,9.63,0,0,7.51,487.79,2.49,9.56,1.81,1.12,0,0,6.93,4.31,0,4.21,37.91,468.04,0,0,192.96,0,0
 24-34,0,0,23.49,6.24,32.11,19.64,0,46.17,0,0,0.74,12.29,1.33,159.76,7.22,2.96,0,1.34,11.35,22.07,30.97,0,0,18.03,4409.25,15.22,150.81,17.01,0,0,3.98,1.47,0,3.18,0.76,3.43,1988.9,0,0,990.81,0,11.95
 36-46,0,0,9.29,0,5.14,5.42,0,251.54,0,0.68,3.32,36.96,1.49,45.22,5.25,2.12,6.51,3.28,0,269.19,41.62,0,1.72,10.47,8093.13,0,167.91,18.42,0,0,4.41,7.81,9.19,2.82,0,0,2729.9,0,0,555.59,0,28.12
 48-58,0,0,0.68,1.01,17.18,4.64,0,1146.66,4.81,11.4,3.29,103.04,7.3,50.32,4.45,13.77,11.28,6.69,0.43,461.42,89.96,0,1.14,8.04,11610.01,0,97.94,14.78,0,0,13.91,0.56,0,0,0,0,1954.22,0,0,344.11,0,43.35
 60-70,0,0,8.79,0,39.61,0,0,5060.27,0.99,1.18,4.02,217.25,171.26,22.71,24.68,0.58,26.62,5.4,2.75,484.66,284.86,0,4.22,15.07,13298.76,0,145.64,25.98,0,0,6.62,0,0,0,0,0,1640.92,0,0,253.36,0,115.22
 72-82,0,0,37.18,0,72.29,10.11,1.16,9269.55,2.62,0.68,27.33,514.73,332.97,43.22,13.18,7.79,50.96,3.94,5.49,328.89,557.08,0,5.16,11.59,16103.33,0,198.9,38.13,0,0.71,11.48,1.13,0,0.55,0,0,1193.11,0.97,6.8,718.94,2.27,80.64
 84-94,0,0,41.54,0,136.1,11.15,3.75,8453.55,1.48,8.95,6.18,447.12,756.97,63.3,14.32,17.68,69.93,8.37,15.49,822.08,560.78,1.94,6.8,11.43,10736.24,2.52,176.38,42.63,0,3.87,25.27,0,0,0.73,0,0,828.42,0,7,809.17,6.06,57.84
 96-106,0,0,46.17,0,126.43,41.23,1.52,8769.23,1.98,5.73,26.95,611.09,404.39,108.3,27.32,15.27,89.54,14.27,79.26,269.92,792.65,5.41,11.22,8.61,9785.02,4.49,273.13,85.78,0,0,36.64,1.33,0,2.28,0,0,476.49,5.57,9.32,1466.5,6.05,195.74
108-118,1.79,0,42.63,0,104.27,26.08,4.79,8262.46,3.58,2.12,6.83,559.23,288.94,49.15,24.9,28.3,185.07,4.96,7.21,624.54,891.68,6.13,6.03,10.2,10955.67,1.49,220.84,65.13,0,3.64,25.55,1.11,0,13.38,0,0,361.26,7.32,6.92,1206.86,4.56,135.81
120,0,0,9.73,0,135.95,8.6,0,5979.99,0,6.84,2.8,628.34,156,99.26,54.2,11.55,142.45,11.85,25.43,204.93,610.51,1.31,22.41,24.06,13660.11,7.46,202.49,77.62,0,3.68,4.18,0,0,0,1.63,0,618.17,0,0,998.9,15.54,13.4
