stage,blastomeres,endocrine_pancreas,epidermis,exocrine_pancreas,eye,fast_muscle,glial,iridophores,melanocytes,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,somites,spinal_cord,xanthophores
  3-4,101.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.94,0,0,0
  5-6,73.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,13.93,0,0,9,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,9.94,0,0,13.95,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,13.06,0,0,0,0,0.96,4.07,0
 24-34,0,0,0,0,0,0,1.23,0,0.63,0.73,7.47,26.18,0,0,0,0,0.74,17.18,1.19
 36-46,0,0,0,0,1.75,0,3.25,0,1.14,0,0,33.39,0,0,0,0,0.56,14.89,1.33
 48-58,0,0,0,0,4.46,0,6.64,0,0,0,0,25.43,0,0.5,0,0,0,14.51,1.68
 60-70,0,0,0,0,22.09,0,29.55,0,0,0,0,22.08,0.96,0,0,0,0,8.59,0
 72-82,0,0,0,0,24.54,1.78,9.74,0.59,0,2.29,0,30.92,0,0,0,0,0,5.48,0
 84-94,0,0.7,1.35,0,16.57,0,14.82,0.73,0,0.78,0,40.35,0,0,0,0,0,5.15,0
 96-106,0,0,0,0,35.63,0,27.12,0,0,1.2,0,7.6,0,0,0,0,0,1.34,2.56
108-118,0,0,0.46,2.22,35.84,0,16.25,1.73,0,1.18,0,17.81,0,0.51,0,0.79,0,0,1.25
120,0,0,0,0,44,0,41.21,0,0,4.83,0,34.2,0,0,0,0,0,0,0
