stage,epidermis,exocrine_pancreas,eye,fin_epithelia,glial,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,spinal_cord,vascular_smooth_muscle,vasculature
 14-21,0,0,0,0,0,0,0,0,11.42,1.04,0,0.87,2.41,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0.79,0,8.8,1.36,0,0,4.59,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0.75,0,0,13.67,0,0,0,7.39,0,0
 48-58,0,0,0,0,0.75,0,0,0,0.46,0.84,1.33,0,14.21,0,0,0,19.42,0,0.84
 60-70,0,0,3.25,0,0,0.69,0,0,0,3.97,0,0,41.16,0,0,0,21.45,1.5,0
 72-82,0,0,0.77,5.41,5.35,0,0,0,0,9.39,0,0,115.99,0,0.67,1.54,18.29,0,0
 84-94,0.81,0,5.35,0.87,1.19,0,2.81,0,0,1.89,0,0,76.77,2.34,0.74,1.29,10.33,0,0
 96-106,1.78,0,1.92,0,0,0,0,4.46,0,3.71,0,0,75.04,5.18,0.73,0,0,0,0
108-118,1.08,3.75,0.61,0,1.9,0,15.01,0.84,0,7.13,0.61,0,91.63,4.74,0,0,14.78,0,0
120,0,0,0,0,5.16,0,8.73,3.49,0,0,0,0,56.53,2.3,0,0,18.98,0,0
