stage,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,hatching_gland,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
 10-12,7.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.38,0,0,0,5.4,0,0,0,0,0,0,0,0
 14-21,0,4.4,1.1,0,0.85,0,0,0,0,0,0,0,0,0,0,1.76,0,1.68,13.64,0,0,0,0,0,1.73,1.14,4.07,7.46,0,0,0
 24-34,0,0.89,0,0,2.25,0,0,0,7.96,0,0,0,0,0,0,1.58,0,0,43.91,0,0,0,0,0,0,0,0,10.19,0,2.54,0
 36-46,0,0,0,0,2.45,0,0,0,1.1,0,0,0.74,0,0,0,7.25,0,3.32,45.95,0.6,0,0,0,0.7,0,0,0,9.71,0,0,0
 48-58,0,0,0,0,3.07,0,0,0,3.84,0.75,0,0,0,0,0,5.62,0,0,40.88,0,0,0,0,0.53,0,0,0,10.73,0.64,0,0
 60-70,0,0,0,0,3.34,0,2.25,0,10.25,0,0,0,0,0,0,10.28,1.7,0,10.37,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,18.8,0,0.53,0.61,6.55,0,0.69,0,0,0,0.49,9.21,0,1.89,24.08,0,0,1.09,0,0,0,0,0,2.39,0,0,0
 84-94,0,0,1.38,0,3.04,0,0,0,3.93,0,0.91,0,0.81,0,0,8.7,0,2.77,0,0,0.71,0,0,0,0,0,0,0,0.98,0,2.81
 96-106,0,0.83,2.68,0.77,14.64,0,0,0,12.05,0,0,0,0,0,0,8.24,0,1.11,12.15,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,1.71,0,0.52,2.65,1.02,0.47,0,7.24,0,0.56,0.44,0,0.56,0,19.71,0.72,1.66,5.61,0,0,8.01,0,0,0,0,0,1.14,0.57,4.76,0
120,0,1.21,0,0,10.06,0,0,0,23.82,0,2.77,0,0,0,0,0,0,5.74,33.32,4.9,0,3.23,0,0,0,0,0,0,0,0,0
