stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,299.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,163.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.11,6.44,0,0,7.39,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,7.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.56,0,0,0,18.02,0,0,0,0,0,0,16.15,0,0,0,0,0,0
 14-21,0,0,1.25,18.94,0.92,3.21,0,0,0,4.44,1.08,2.33,0,0,0,0,0,0,15.06,0,0,185.18,108.12,0.9,1.37,0.85,5.88,0,1.23,0.91,59.91,0.91,8011.33,7828.09,22.04,0,0,1.87,0,0
 24-34,0,0.81,0.76,21.28,5.34,70.27,1969.29,0,2.27,7,1.75,26.94,10.31,8.46,7.64,0,13.54,5.45,101.68,0,2.42,613.06,875.21,13.71,11.65,4.52,0,0,69.17,0,5.48,10.06,4415.75,3929.6,122.74,0,0,24.53,0,3.15
 36-46,0,0,0,3.68,0,57.62,3340.51,12,1.45,15.51,0,19.56,0.81,0,0.56,0.7,2.96,9.43,57.55,0,2.12,255.24,537.84,3.36,2.97,2.02,0,0,37.62,0,0,0.67,2995.08,189.57,123.77,0,0.85,10.95,0,1.02
 48-58,0,0,0,10.4,0.87,171.71,1948.69,9.88,5.47,36.16,0,23.84,0.82,0,0.62,1.03,11.23,6.99,55.25,0,2.43,217.61,491.52,0.6,0.44,1.03,0,0,12.99,0,0,0.74,1437.57,0,106.83,0,0,11.75,0,23.03
 60-70,0,0,0,9.72,4.47,120.65,1025.9,0,0,15.8,0,7.64,0,0,0,0,0,0,56.48,2.85,1.68,182.31,254.97,1.09,0.92,2.14,6.48,0,15.66,0,0,0,710.21,0,42.67,0,0,0,0,20.69
 72-82,0,0,0,7.91,0.49,109.77,692.78,0,6.15,31.64,0,1.89,0,0,2.96,0,4.47,0,61.36,1.31,1.23,150.75,241.78,0,0.58,4.76,2.25,1.53,8.15,0,0,0,323.08,0,45.07,0,1.75,12.48,0.61,3.07
 84-94,0,0,0,10.52,3.8,147.63,1054.85,0,0,12.24,0,7.61,3.15,0,0,0,3.33,3.18,56.64,0,0,108.01,155.26,3.64,2.55,3.66,0,0,25.96,0,0,1.09,589.34,0,13.26,0,3.69,7.34,0.6,15.75
 96-106,0,0,0,12.25,66.69,251.88,1404.22,11.15,2.64,61.7,5.64,15.89,4.86,1.12,4.83,1.84,45.08,0.65,100.33,0,4.72,174.46,286.62,0,1.65,5.26,8.43,2.44,22.3,2.06,0,0,626.78,0,8.38,0,7.26,19.4,8.7,23.12
108-118,0,0,0,16.54,2.87,139.46,1316.89,1.64,5.56,28.63,3.45,13.56,8.84,1.57,7.85,0,8.67,0.6,90.37,0,0,227.54,206.41,0.54,2.06,0.72,8.11,0,5.27,0,0,0,540.84,0,4.31,3.2,1.45,18.96,2.57,5.72
120,0,0,0,45.14,10.8,59.04,984.88,0,0,21.6,1.34,0,0,3.56,1.17,0,0,0,64.58,0,0,297.74,130.43,3.33,2.15,2.08,0,0,4.47,0,6.71,0,173.54,0,0,0,0,0,0,16.58
