stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,42.46,811.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.23,0,0,0,0,0,0,0,0,0,0,0
  5-6,16.66,453.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.06,0,0,0,0,0,35.43,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,17.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188.84,4.29,0,0,46.55,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,24,0,0,0,0,32.46,0,0,0,0,0,4.53,0,0,0,0,0,0,0,0,0,0,0,336.7,25.14,0,0,154.04,0,0,0,0,3.51,0,0,3.51,0,0,0,0,0
 14-21,0,0,0,0,35.79,16.36,13.43,0,0,0,3.49,0,0,0,0,0,0,0,0,0,13.19,0,0,6.75,113.44,3.17,0,0.93,0,0,2.56,2.93,9.33,0,0,14.01,45.62,0,0,3.24,0,0
 24-34,0,0,1.42,1.41,11.35,2.09,46.26,0,0,0.69,5.14,1.02,0,3.29,0,1.15,0,1.48,0,0.62,36.47,0.69,0,16.22,420.32,1.49,5.5,1.3,0,0,7.58,0,0,0.88,0.67,7.89,100.2,0,0,11.28,0,1.97
 36-46,0,0,0,0.84,14.77,0.9,98.18,0,0.87,2.53,17.01,0,0,2.7,0.89,0,0,0.65,0,0.67,42.95,0,0,9.29,506.18,1.31,3.86,0,0,0,8.88,0,0,3.76,1.14,0,94.35,0,0,4.26,0,3.64
 48-58,0,0,0,0,9.42,0,165.72,0.61,1.18,1.99,38.29,0,0,1.55,5.79,0,0,0.37,0.76,6.82,49.41,0,0,11.29,586.87,0,2.16,0.44,0,0.56,8.89,0,0,0,0,0,85.96,0,0.42,1.66,0,1.32
 60-70,0,0,6.75,0,18.09,0,197.32,6.6,0.63,0.84,46.19,3.78,1.21,1.76,1.23,0.86,0,0,0,0,43.13,0,0,7.27,455.87,1.36,5.25,1.53,0,0,24.73,0,0,0,4.16,0,81.7,0,0,6.16,0.64,0.91
 72-82,0,0,0.56,0,9.4,4.36,177.84,0,3.62,2.5,50.4,2.74,0,0.58,7.3,1.34,1.24,0,2.13,0.99,86.12,5.11,1.11,8.84,362.66,0,3.97,3.16,0,1.94,14.78,0,0,1.24,0,0,56.91,2.57,0.5,7.56,3.47,6.65
 84-94,0,0,0,0,10.76,13.1,130.84,0,0,4.76,37.76,3.8,0,1.57,7.59,2.51,0.75,0,0,2.21,76.13,1.29,23.49,7,361.95,0.63,6.11,3.61,0,0,23.71,0,0,1.87,0.6,0,13.52,2.39,0.58,22.44,1.45,2.44
 96-106,0,0,0,0,18.02,11.31,140.52,0,1.38,1.54,46.54,8.82,0,1.42,6.06,3.42,1.37,2.1,0,0,49.8,0.71,1.02,7.85,173.21,0.62,7.89,2.41,0,3.26,34.82,0,0,0,0.6,0,19.77,0,1.51,9.59,2.23,3.43
108-118,0,0,0,0,18.5,6.31,100.51,1.19,2.98,3.37,27.5,3.29,0,0,5.52,3.37,1.77,0.56,3.58,2.13,67.59,0,8.99,7.24,326.16,1.14,1.34,1.61,0,1.35,11.95,0,0,0.52,0.43,0,15.39,0.5,0,9.53,1.99,3.2
120,0,0,0,0,30.58,21.41,121.4,0,2.6,1.6,69.44,19.23,0,2.63,10.09,4.81,0,1.84,8.13,0,75.7,0,6.66,26.85,459.25,1.42,2.2,4.43,0,0,18.93,0,0,3.57,0,0,30.29,0,0,9.91,2.31,0
