stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,30.05,668.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,89.4,904.73,0,10.68,0,0,0,0,0,0,0,0,0,11.6,0,0,0,0,0,0,0,0,0,0,39.56,0,0,0,16.81,0,0,0,0,0,0,0,0,0,0,0
  7-9,16.81,87.28,0,77.63,0,0,0,237.42,0,0,0,0,0,39.99,0,0,0,0,0,0,0,0,0,0,1337.55,53.63,0,0,451.04,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,33.6,0,117.19,0,0,0,152.48,0,0,0,0,0,11.98,0,0,0,0,0,0,0,0,0,0,1094.78,40.15,0,0,524.82,0,0,0,64.66,0,0,0,0,0,0,0
 14-21,0,0,0,1.03,13.25,4.93,0,8.35,0,0,0,6.49,0,0,0.92,0,0,0,0,0,7.24,0,0,4.97,88.77,1.35,1.03,1.53,2.91,0,0.88,15.52,3.42,9.78,28.39,0,0,1.76,0,0
 24-34,0,0,0,0,5.44,0.98,0,16.55,0,0,0,2.06,0,0,0,0,0,0,0.68,0,21.15,0,0.81,7.65,182.86,0,1.06,0.63,0,0,0.61,0,0.84,2.54,40.56,0,0,0,0,0
 36-46,0,0,0,0,4.76,0,0,33.93,0,0.88,1.56,11.99,0,0,0,0,1.79,3.72,0,2.57,17.23,0,0,3.4,170.53,5.47,9.22,0,0,0,0.76,0,0,0,38.7,0,0,3.19,0,0
 48-58,0,0,0,0,8.03,0,0,75.82,2.21,1.85,0,22.78,0,0,0.42,0,0,0,0.44,0,22.1,0,0,3.06,204.93,0.38,7.27,2.9,0,0,0,0,8.1,0,18.52,0,0,0,0,0.54
 60-70,0,0,0,0,2.37,0,0,98.16,0,0,0.96,6.6,0,0,0,0,0,0,2.13,0,39.49,0,0,10.17,146.09,0,3.55,5.81,0,0,0,0,0,0,21.57,0,0,0,0,0
 72-82,0,0,0,0,5.42,0,0,100.66,0,0,0.84,9.97,0.71,0,0,0,1.16,0,0.92,0,49.28,0,3.94,2.05,152.66,0,2.57,1.37,0,0.87,0.96,0,0,0,21.85,0.74,0.5,0.6,0,0
 84-94,0,0,0,0,1.14,1.35,0,96.95,0,0,0.81,16.09,2.26,0,0,0.6,0,0.65,0,0,23.53,0,1.99,3.97,85.11,0,3.56,2.03,0,0,0,0,0,0,26.37,0,1.03,0,0,0
 96-106,0,0,0,0,2.84,10.49,0,57.13,0,0.58,0,15.7,0,0,0.76,0,0,0,1.09,0,24.74,0.71,2.84,2.54,99.45,0,6.14,2.82,0,1.47,0,0,0,0,1.35,0,1.16,0,3.66,0
108-118,0,0,2.02,0,2.4,0,0,50.65,0,0,0.64,20.25,2.44,0,0,1.55,0,0,2.66,1.61,23.83,0,3.3,1.45,123.66,0.67,5.18,5.47,0,0,4.5,0,0,0,3.59,0.52,1.82,0,3.19,0
120,0,0,0,0,11.36,1.9,1.6,25.89,0,0,0,14.4,9.34,0,0,0,0,0,2.07,0,11.68,0,0,1.8,115.39,0,9.42,0,0,14.09,5.82,0,4.05,0,16.26,0,0,1.59,6.55,0
