stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,glial,lateral_line,mesenchyme,neural,otic,spinal_cord,taste,vascular_smooth_muscle
  3-4,26.18,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,29.85,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,6.66,0,0,0,0
 14-21,0,0,0,0,0,1.08,0,0,3.88,0,0,0,0
 24-34,0,0.66,0.69,0,0,0,0,0,3.38,1.55,0.64,0,0
 36-46,0,1.95,0,0,2.26,0,0,0,2.82,0,3.1,0,0
 48-58,0,0.4,0,0,7.23,0.39,0,0,12.56,1.14,3.13,0,0
 60-70,0,0,0,0,68.19,2.44,0,6.88,10.93,0,2.73,0,0
 72-82,0,0.98,2.68,0,130.26,0,0,1.01,17.4,0.69,2.37,1.01,0
 84-94,0,2.07,6.85,0,106.44,0,0,0,16.8,1.44,0,0,0
 96-106,0,2.59,0,2.06,90.7,2.77,1.14,0.82,23.72,0,0,0,0
108-118,0,1.68,0,0,133.59,6.81,0,1.05,26.68,0,0,0,2.38
120,0,0,1.43,0,165.2,12.05,0,0,61.63,0,4.57,0,0
