stage,epidermis,erythrocytes,eye,glial,immune,ionocyte,mesenchyme,mural_cell,muscle,neural,olfactory,otic,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
 14-21,1.33,0.85,0,0,0,0,1.36,0,1.11,65.03,0,0,0,3.93,0.89,0.93,3.18,0,0,0
 24-34,1.73,0,2.04,1.93,0,0,16.16,0,1.23,222.56,0,0,0,0,0,1.27,9.16,0,0,0
 36-46,0,0,7.36,13.89,0,0,8.39,0,1.66,303.82,0,0.62,0,0,0,0,18.01,0,0,0
 48-58,3.07,0,4.23,22.94,0,0,5.95,0,1.98,219.89,0,0,0,0,0,0,1.84,0,0,0
 60-70,0.64,0,18.01,29.1,0,0,3.27,0,0,157.67,0,0,0,0,0,0,0,0,0,3.58
 72-82,1.26,0,13.07,30.08,0,0,2.02,0,0,104.65,0.79,0,0,0,0,0,2.48,0,0,0
 84-94,0.63,0,16.2,18.25,0,0,2.42,0,1.2,110.45,0,0,0,0,0,0,2.26,1.38,0,0
 96-106,0,0,28.22,33.69,0,0,6.65,0,0,58.24,0,0,0,0,0,0,2.05,0,0,0
108-118,0.76,0,33.09,30.99,0.53,0.46,6.1,0.69,0,84.66,0,0.74,0,0,0,0,3.21,0,0,0
120,0,0,15.94,34.03,1.14,0,16.63,0,0,86.05,0,0,2.03,0,0,0,0,0,1.72,0
