stage,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 10-12,0,0,0,0,0,0,0,4.6,0,0,0,0,0,0,0,0,9.8,11.66,0,0,12.37,0,0,0,0,0,0,0,0,0
 14-21,0.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.13,0,0,0,0,0,0,0,91.41,2.88,0,10.7,0,0
 24-34,0,0,11.75,0,0,0,0,0,0,0,0,0,0.94,1.53,0,0.7,20.5,0,0,0.82,0,2.91,0,0,137.4,1.3,0,7.03,0,0
 36-46,0,0,1,0,0.82,0,0.58,0,0,0,0,5.07,0,7.77,0,0,45.62,0,0,0,0,0,0,0,103.14,2.64,0,0,0,0
 48-58,4.3,0,4.14,0,2.38,1.74,0.58,0,0,0,0,0,12.25,10.19,0.72,0,53.71,0,0,0,0,0,0,0,59.27,4.34,0,1.28,0,0
 60-70,3.42,0,2.53,0,2.24,5.27,0,0,0,0,0,0,3.64,23.88,0,0,87.72,0,0,0,0,0,0,0,60.95,1.61,0,1.68,0,0
 72-82,0.81,0,10.48,0,1.22,2.53,9.73,0,0,0,0,7.54,3.86,26.24,8.58,0,136.02,0,0,0.81,0,0,0.72,0,87.45,3.78,0,5.81,0.59,0
 84-94,1.27,7.56,0.77,0,0.85,3.36,11.32,0,0,0,0,4.54,15.14,15.19,0,0,140.43,0,0,0,0,0,2.27,0,187.35,4.3,0,0,10.83,0
 96-106,1.32,4.67,1.23,0,0,8.16,30.97,0,0,1.77,0,13.74,1.8,48.01,0,0.78,116.79,0,1.39,0,0,3.57,6.94,0,174.95,17.93,2.54,4.63,0.74,0
108-118,0,1.03,9.43,0,0,14.97,16.31,0,0.86,0.41,0.62,6.62,4.88,35.79,0,0.59,180.85,0,0,0.76,0,7.17,0.67,0,192.94,1.92,0.5,0.47,1.4,1.9
120,0,0,0,2.05,0,17.15,25.29,0,0,0,0,14.95,1.33,17.84,0,0,167.67,0,0,0,0,11.25,0,2.5,124.52,5.16,0,0,10.35,18.98
