stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vasculature,xanthophores
  3-4,73.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,32.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,19.15,0,0,0,30.3,0,0,0,0,0,0,0,0,0,0,0,0,0,61.76,8.39,0,0,39.8,0,0,0,0,0,0,0,0,0
 10-12,9.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.95,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,4.94,0,0,3.69,0,0,0,0.96,0,0,0,0,0,0,0,0,2.25,18.36,0,0,0,0,0,0,1.38,0,0,10.14,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,1.77,0,0.68,0,0.61,0
 36-46,0,0,0,0,0,0,2.06,0,0,0,0,0,0,0,0,0,0,1.47,0,0,20.75,0,0,0,0,0,0.81,0,0,0,5.53,0,2.41,0
 48-58,0,0,0,0,0,0,7.57,0,0,0,0,0,0,0,0,0,0,0.48,0,0,32.14,0,0,0,0,0,0,0,0,2.17,4.87,0,2.36,0
 60-70,0,0,0,0,0,0,29.3,0,1.95,4.11,0,0,10.83,0,0,8.73,0,5.32,0,0,20.75,0,1.56,2.14,0,0,0,0,0,0,4.01,0,6.53,7.41
 72-82,0,0,0,0,0,0,36.74,0,4.44,3.22,0,0,0,0,0,1.65,0,6.31,0,0,15.7,0,1.1,1.75,0,0,0,0,0,0,2.93,0,0,0
 84-94,0,3.52,0,0,0,0,7.22,3.7,0.82,12.51,0,0.56,0,1.02,0,0,0,6.1,0,0,1.68,0,0,1.65,0,1.49,12.29,0,0,0,0,0,0,0
 96-106,0,0.89,0,0,1.77,0,5.71,0,0,16.33,1,0,1.8,0,3.99,0,0,4.51,0.62,0,11.87,0,0,0,0,0,1.13,0,0,0,0.67,0.8,0.57,0
108-118,0,0.95,0,1.42,0,0.65,20.45,0,1.51,37.63,0,0.87,0.72,1.84,0,0.49,0.82,0.5,0,0.48,32.25,0,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,8.71,6.63,0,134.26,0,0,0,0,0,5.98,0,2.48,0,0,17.53,0,0,0,0,0,0,0,1.22,0,0,0,2.39,3.6
