stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature
  3-4,24.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,31.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.03,1.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,8.74,0,0.8,0.99,0,6.46,0,3.21,6.56,0,0,0.99
 24-34,0,0.65,0.8,0,1.42,0,0,0,0,0,0,0,0,0,0,4.66,0,1.71,2.36,21.52,0,0.89,0,0.61,0,0.7,1.46,6.28,0,0,0
 36-46,0,0,0.61,0,4.03,0,0.68,0,1.46,0,0,0,0,0,0,3.34,0,0,2.05,12.81,0.89,0,0,0.64,0,0,0,6.36,0,0,0
 48-58,0,0,4.54,0,2.2,0,0.39,0.45,6.56,0,0.7,0,0.55,0.8,0,7.08,0,0,0,15.38,0,0.41,0,2.05,0,0,0,6.25,0,0,0.54
 60-70,0,0,0.78,0,2.62,0,0,0,0.66,2.66,0,0,0,0,0,2.6,0,0,0,54.16,1.09,0,0,3.53,0,0.73,0,5.02,0,0,0
 72-82,0,0.69,0,0,9.99,0.79,2.27,0,4.44,0,0,0,0,0,0,2.96,0.92,0,0,20.02,0.67,0,0,0,0,0,0,2.36,0,0,0
 84-94,0,0,2.97,1.98,17.77,0,0,0.83,0,1.62,0.6,1.2,0.83,0,0,0,0,0,0,3.7,0,0.92,0,0,0,0,0,0,0,1.23,0
 96-106,0,0,0.58,0,8.34,0,0.9,0,0,1.16,0,0,0,0,0,5.26,0.81,0,0,11.3,3.53,0.76,0,4.52,0,0,0,0,0,0,0
108-118,0,0,1.9,1.05,3.04,0,0,0,0.94,2.62,0,0,0,0.59,0,3.51,0,0,0.48,26.38,0.49,0.92,0,2.13,0,0.48,0,0,0.71,0,0
120,0,0,1.07,1.01,5.51,0,0,0,0,2.12,0,8.73,0,2.18,1.33,0,0,0,0,22.81,5.66,0,0,6.39,0,0,0,0,0,0,0
