stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,54.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,100.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,4.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.75,18.49,0,0,8.85,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,4.7,0,0,0,16.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.47,34.05,0,0,25.96,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.01,31.19,37.11,0,2.79,0,0,0,1.94,0,0,0,0,0,2.61,0,5.26,0,0,11.57,32.44,35.67,0,0,0,0,0,1.36,0.91,3.24,6,14.03,0,0,4.27,0,1.26
 24-34,0,0,0,11.7,14.25,0,3.48,8.14,4.08,7.22,0,0,2.31,0,0,0,0.66,0.63,31.28,0,0,19.04,74.33,17.65,0.82,2.31,0,0,2.73,0,1.69,0,1.72,6.29,0,0,17.64,0,13.47
 36-46,0,0,0,8.11,1.33,0,4.78,15.78,26.81,8,0.56,0,10.32,0,0,0,0,10.72,45.14,0,0,13.82,94.85,11.53,0,0.74,0,0,2.31,0,2.32,0,0.83,13.1,0,0.62,5.37,0,32.68
 48-58,0,0,0,16.21,1.5,0,29.55,5.5,32.14,35.04,0.91,0.58,10.56,0,9.94,0,0,1.53,76.11,0,0,5.89,74.72,1.33,0,4.28,0,0,8.57,0,0.93,0,0,22.08,0,0,1.71,0,33.02
 60-70,0,0,0,9.07,1.25,0,124.96,1.83,13.39,77.95,23.16,0.9,22.2,0,20.93,0.59,0,6.42,172.54,0,0.7,2.38,93.17,1.77,0.71,2.87,0,0,0.66,0,9.67,0,0,12.07,0.81,0.61,2.85,0,32.2
 72-82,0,2.83,0,3.03,6.47,0.49,126.51,0,15.02,82.45,42.15,1.43,41.67,0.53,29.72,0,9.24,0,170.45,0,1.55,5.64,89.27,0,3.08,4.59,0,0,2.1,0,0.5,0,0,8.51,1.01,0,12.37,1.83,13.64
 84-94,0,8.56,0,6.98,0.85,1.54,82.87,5.64,19.24,66.73,70.5,0,38.85,0,13.97,0,1.65,0,157.73,0,1.36,2.69,86.11,0,1.31,2.6,0,0.57,0,0,0,0,0,7.35,0,3.1,28.97,2.22,20.34
 96-106,0,1.49,0,0.85,1.38,1.76,102.07,0.61,18.54,95.18,101.24,0,35.52,0.73,4.86,2.45,0.7,0,107.81,0.7,0.67,8.54,66.48,0.7,0.89,3.18,0,0.81,5.43,0,0,0,0,4.62,0,0.94,13.6,3.09,19.48
108-118,0,3.5,0,5.15,8.98,4.15,111.92,0.9,16.81,86.13,157.04,0,36.15,0.57,17.2,0,6.53,0,73.41,0,0,5.82,103.87,0.47,0.83,3.55,0,1.06,3.01,0,1.68,0,0,12.69,0.69,0,5.94,0.5,9.26
120,0,6.86,0,5.49,9.06,0,104.95,0,6.81,94.25,181.8,0,67.33,0,9.64,0,0,0,112.23,1.59,0,8.41,144.27,0,2,0,0,0,3.56,0,0,0,0,6.01,11.06,0,19.12,0,0
