stage,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,immune,ionocyte,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature
 10-12,0,0,7.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,4.33,0,0,0,1.24,0,0
 24-34,1.89,0,0.89,0,0,0,0,0.79,0,0,0,0,0,21.61,0,0,0,0.97,0,0
 36-46,0,0,2.98,0,0.69,0,0,0,0,0,0,0,0,57.96,0,0,0,5.35,0,0
 48-58,0.75,0.45,19.53,0,3.52,0,0,0,0,7.73,0,0,0,91.06,0,3.86,0,10.88,0,0
 60-70,2.21,0,58.62,0,5.24,0,0,0,0,0.69,0,0,0,135.44,0,0,0,21.58,3.8,0
 72-82,1.72,0.74,27.04,0.51,5.93,0,1.18,0,1.08,2.75,0,0,0,212.53,0,0,0,9.47,0,0
 84-94,8.29,0,30.99,0.59,12.17,0,0,0,0,1.4,0.62,2.05,0,140.41,0,0,0,4.83,0,0
 96-106,9.97,0,44.77,0.61,5.67,0,0,0.58,0,0,0,0,0,133.99,0,0,0,10.43,0,1.24
108-118,4.1,0,30.9,1.25,9.12,2.21,0,1.67,0,1.12,0,0,0.67,143.4,1.07,0,0,15.41,0,0
120,2.76,0,32.15,0,15.6,0,0,0,0,0,0,0,0,187.66,0,0,2.43,12.27,0,0
