stage,axial,blastomeres,epidermis,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,pericytes,periderm,presomitic_mesoderm,slow_muscle,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,20.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.34,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,4.29,0,0,0,0,0,0,0,0,0,0,0,0,17.63,4.54,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,1.2,1.1,2.47,0,0,0,0.96,1.23,0,0,0,0
 24-34,0,0,0,1.04,0,0,0,0,0,0,0,0,0,0,0,0,11.59,0,2.8,0,0,0,0,1.43,0.82,0,0
 36-46,0,0,0,29.77,0,0,0,0,0.65,0,0,0,0,0.66,0,0,17.37,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,202.87,0,0,0,0.39,0,3.54,0,0,0,0.9,0,4.14,24.56,0,0,0,0,0,0,3.55,0.92,0,0
 60-70,0,0,0,622.94,0,0,0,3.99,0,0,0,0,0,0.84,0,0,66.89,0,0.7,0,0,0,0,3.8,0,0,0
 72-82,0,0,0,291.7,0,1,0,13.23,0,0,0,0,0,20.3,0,0,80.9,0,0,0.89,0,0,0,2.51,0,0.96,1.14
 84-94,0,0,1.1,328.59,0,0,0,8.12,0,0,0,2.42,0,5.23,0.98,0,35.02,0,0,0,0,0,0,10.92,0,0,0
 96-106,0,0,0,424.86,0,0,0.77,5.18,0,0,0,0,0,9.61,0,0,12.8,0,0,0,1.31,0,0,0,0,0,0
108-118,0,0,1.58,551.98,1.82,0,1.3,0.58,0.89,0,0,0,7.97,6.59,0,0.99,54.09,0,0,0,1.82,0,0,0,0.93,0.49,1.72
120,0,0,8.28,368.74,0,1.55,10.02,0,0,0,0,0,0,5.98,0,0,117.21,2.66,1.46,0,0,0,0,0,0,0,0
