stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,78.62,847.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.9,0,0,0,0,0,0,0,0,0
  5-6,36.52,616.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.69,0,24.51,0,0,0,0,0,0,0,0,0
  7-9,27.65,15.38,0,11.98,0,0,0,22.7,0,0,0,0,0,6.54,0,0,0,0,0,0,0,0,0,0,351.42,8.86,0,0,106.38,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.21,0,24.17,0,9.45,0,38.24,0,0,0,0,0,12.11,0,0,0,0,0,0,0,0,0,0,477.85,16.36,0,0,123.78,0,0,4.8,0,19.02,3.24,5.88,0,0,0,0
 14-21,0,0,0,1.89,21.46,3,0,12.21,0,0,0,0.82,3.59,0,0,0,1.28,0,1.12,0,10.65,0,0,10.65,132.14,5.23,0.86,0,4.56,0,20.58,0,13.31,0.9,6.86,34.97,0,0,0,0
 24-34,0,0,0,0,2.37,0,0,12.5,0,0,0.62,6.02,0,0,0,1.04,1.17,0,0,0,12.61,0,0,1.92,129.43,0,1.19,0,0,0,17.3,0,0,0,0.68,27.12,0,0.64,0,0
 36-46,0,0,0,0,0.61,0.79,0,25.16,0,0,0.63,4.84,0,0,0.95,1.06,0,0,0,0,9.55,0,0,3.46,147.67,0,0,0.84,0,0,12.1,0,0,0,0,22.74,0,1.53,0,0
 48-58,0,0,0.68,0,0,0,0,70.66,0,1.27,0,9.85,0,0,0.55,1.77,0,5.88,0,1.59,15.64,0,1.28,2.88,155.93,0,0.63,0,0,0,3.39,0,0,0,0,30.43,0,5.84,0,1.54
 60-70,0,0,0.57,0,1.02,0,0,48.33,0,0,0.72,2.62,0,0,0,0,0,0,0.67,0,11.41,0,0.84,1.43,106.61,2.21,0.89,0.68,0,0,1.13,0,0,0,0,4.96,0,0,0,0
 72-82,0,0,0,0,4.76,0,0.76,92.32,0,0,2.71,15.54,0,0,1.41,0,0.89,0.9,0,0,17.47,0.78,1.87,1.1,109.99,0,1.12,0,0,1.12,16,0,0,0,0,23.74,1.42,1.81,0.5,0
 84-94,0,0,0,0,1.78,0,0,25.61,1,0,0,0.63,1.63,0,0,0,0,1.28,0.81,0,16.78,0,0,0.76,52.33,0,1.55,0.7,0,0,8.4,0,0,0.74,0,1.18,0,5.33,0,0.73
 96-106,0,0,0,0,3.3,0,0,42.63,0,0,0,1.66,0,0,0.76,0,0,0,0,0,5.12,0,0,0,34.11,0,0,0,0,0,1.73,0,0,0,0,7.41,0,1.37,0,0
108-118,0,0,0,0,1.32,1.8,0,43.02,0,0,0,3.37,0,0,0,0,0.47,0,0,0,6.28,0,0,1.57,53.06,0,1.09,1.01,0,0,2.98,0,0,0.75,0,2.41,0,2.46,0,2.91
120,0,0,0,0,0,1.88,0,16.03,0,0,0,2.88,0,0,0,6.51,0,0,0,0,1.97,0,0,1.12,42.32,2.33,0,0,0,0,15.93,0,0,1.62,0,0,0,0,0,0
