stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,0,50.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,163.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.32,0,4.2,0,0,9.91,0,0,0,0,0,8.64,0,0,0,0,0,0,0,149.43,0,0,0,87.36,0,0,0,0,0,0,0,0
 10-12,0,0,15.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213.58,0,0,0,34.26,0,4.37,0,0,0,0,0,0
 14-21,0,0,0,23.81,3,7.6,0,0,0,1.34,0.81,0,0,0,0,0,11.8,0,1.09,72.74,0,0,1.65,0.88,0,0,13.86,0,16.13,10.19,0,0
 24-34,0,0,0,3.62,1.96,0.81,0,0,1.35,0,2.19,0,0,0,0,0.73,7.22,0,3.35,18.74,0,0,0,0,2.19,0,0,0,0,7.85,1.66,0
 36-46,0,0,0,10.32,0,5.99,0,0,1.23,0.69,0,0,0,0,0,0,14.47,0,0.74,45.98,0.66,0.89,0.68,0,4.14,0,0,0,0,11.61,0,0
 48-58,0,0,0,1.28,0,7.12,1.09,0.78,0,0,0,0,0.7,0,0,0,5.32,0.7,2.2,29.99,0,0,0.51,0,1.12,0.84,0,0,0,3.9,6.69,0
 60-70,0,0,0,6.73,0,2.13,0,0.73,0,1.14,0,0.63,0,0,0,0,1.61,0,0.77,2.19,0,0,0,0,0.68,0,0,0,0,1.72,0,0
 72-82,0,0,0,1.04,0,12.19,0,0,1.79,6.6,0,0.52,0.54,0,0,0,4.34,0,1.4,11.82,2.3,0,0,0,2.61,0,0,0,0,0,0.72,0.68
 84-94,0,0,0,0.98,0,3.28,0,0,0,1.39,0,0,1.21,0,0,0,1.57,0,0,2.82,0,0,0,0,0,0,0,0,0,0,1.11,0
 96-106,0,0,0,1.41,0,1.02,0.64,0.66,0,0,0,0,0.94,0,0.98,0,5.4,0,0.8,4.3,0,0,0,0,4.4,0,0,0,0,0,0,0
108-118,0,0,0.74,0.76,0,3.23,0,0.43,0,0,0,0,0,0.69,0,0,0,0,0,1.05,0,0,0.9,0,4.61,0,0,0,0,0,0,0
120,0,0,0,0,9.23,2.87,0,0,0,0,0,0,0,0,0,0,5.08,0,2,2.49,0,0,0,0,0,0,0,1.47,0,0,4.54,0
