stage,erythrocytes,eye,fast_muscle,mesenchyme,neural,olfactory,paraxial_mesoderm,periderm,slow_muscle,somites
 14-21,0,0,0,0,0,0,0,0,8.96,2.26
 24-34,0,0,0,0,0,0,0,0,1.56,0
 36-46,0,0,0,0,0,0,0,0,4.81,0
 48-58,0,0,0,0,0,0,0,0,9.81,0
 60-70,0,0,0,0,0,0.67,0,0.96,0,0
 72-82,0,1.65,1.51,0.93,0,0,1.13,0,0,0
 84-94,0,0,15.37,0.59,9.78,0,0,0,0,0
 96-106,2.16,3.62,15.2,0,6.3,0,0,0,0,0
108-118,0,0,16.19,4.94,0,0,0,3.34,1.55,0
120,0,0,11.56,1.46,0,0,0,0,6.05,0
