stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.85,874.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.23,0,0,0,0,0,0,0,0,0,0
  5-6,37.24,590.39,0,0,0,0,0,0,0,0,0,0,0,7.74,0,0,0,0,0,0,0,0,0,0,100.51,0,0,0,0,0,17.02,0,0,0,0,0,0,0,0,0,0
  7-9,4.26,0,0,0,0,0,0,0,0,0,0,0,0,7.75,0,0,0,0,0,0,0,0,0,0,79.95,10.69,0,0,39.73,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.73,0,6.05,0,0,0,0,0,0,0,0,0,5.49,0,0,0,0,0,0,0,0,0,0,76.81,5.45,0,0,25.75,0,0,5.95,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.96,47.87,10.94,0,0,0,1.69,0,0,4.25,2.04,0.92,0,0,0,0,0,6.11,0,0,0,36.64,0,0,0,0,0,7.96,0,1.75,0,0,2.01,17.23,0,5.64,0,0
 24-34,0,0,0,0,44.83,0.81,0,2.97,0,9.9,0,0,0,0,1.85,0,0,0,0,0.69,13.27,0.75,0,1.81,92.97,0,0,0.74,0,0,5.22,0,0,0,0,1.51,24.21,0,21.29,0,3
 36-46,0,0,0,0,51.53,0,0,21.16,0,5.64,3.07,1.76,0,0,1.19,0,0,0,0,0,25.46,0,4.9,3.27,82.12,5.91,0,0,0,0,0,0,0,0,10.61,0,17.31,0,5.47,0,10.47
 48-58,0,0,0,0,41.18,0,0,16,0,11.53,0,16.21,0,0,0.83,0.54,0,0,0,0,34.27,0,0.95,9.2,72.76,0.56,0,0,0,0,5.14,0,0,0,4.04,0,35.43,0,28.08,0,0
 60-70,0,0,0,0,44.32,0,0,40.45,2.08,4.76,0,18.9,0,0,0.87,3.13,1.33,0,0,0,46.98,0,0,12.74,99.94,1.75,0,5.65,0,0,4.39,0,0,0,1.32,0,33.75,0,57.81,0,0
 72-82,0,0,0,0,14.38,1.27,0,43.48,0,10.26,1.62,60.65,1.23,0,0.73,5.08,0.52,0.75,0,0,66.36,0,1.32,8.08,64.22,0,0,2.92,0,2.17,2.2,0,0,0.97,1.05,0,12.72,0.61,108.54,1.92,0
 84-94,0,0,0,0,49.34,0,0,20.94,1.38,30.05,0,35.81,5.14,0,0,13.07,0,0,0,0,63.16,0,0,5.61,43.08,0,1.11,0,0,0,5.11,0,0,2.36,0,0,4.85,1.67,106.06,0,0
 96-106,0,0,0,0,34.43,26.44,0,23.46,0,21.38,2.29,42.42,0,0,0,9.91,0,0,0,0,75.05,0,3.35,7.97,45,2.28,8.21,0,0,0,11.25,0,0,0,0.91,0,1.07,0,153.31,5.13,0
108-118,0,0,0,0,51.49,6.47,0.65,10.62,0.54,27.33,1.03,63.6,0,0,0.43,12.2,0.49,1.46,0.6,0,58.72,1.08,0.94,4.68,63.81,0.43,1.86,0,0,0,2.94,0,0,0.66,0.83,0,0,0.77,130.68,3.7,0
120,0,0,3.29,0,70.66,10.78,0,12,0,51.21,0,75.95,0,0,0,37.24,0,0,0,0,106.19,2.18,1.41,12.45,121.45,3.58,2.97,0,0,0,0,0,0,0,0,0,0,0,213.07,13.95,0
