stage,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,immune,ionocyte,iridophores,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,spinal_cord,taste,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,4.58,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,7.92,0,0,0,0,0,0,0
 14-21,11.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,0,0
 24-34,86.11,0,0,2.82,1.8,0,1.47,0,0,0,0,0,1.04,16.13,0,0,0,1.61,0,0,0
 36-46,55.18,0,1.61,19.73,0,0,0,0,0,0,0,0,0,7.51,0,0,0,0,2.1,0,0
 48-58,62.33,0,9.14,11.34,0,0,0.85,0,0,1.17,0.52,0,0,20.32,0.55,0.97,0,0,5.56,0,0
 60-70,59.66,0,7.84,34.25,0.8,0,0,0,0,2.65,0,0,0,13.02,0,0,0,0,1.67,0,0
 72-82,43.19,0,11.9,10.05,0.52,4.74,3.55,0,0,2.96,1.14,0,0,30.39,0,0,0,0.54,2.36,0,0
 84-94,62.28,0,3.73,24.26,0,0,0,0,6.87,2.95,0,0.76,0,3.61,0,0,0,0,0,0.83,8.11
 96-106,67.04,0,6.39,30.35,1.52,0.81,6.52,0,0,7.79,1.39,0,1.33,1.96,0,0,0.67,3.62,0,0,0
108-118,100.91,1.41,4.38,25.38,0,0,3.8,0.57,0,1.38,0.94,0,0,5.85,0,2.16,0,0.43,0,0,0
120,142.4,0,14.53,38.19,0,2.87,0,1.48,0,0,2.78,0,0,8.76,0,0,0,28.35,0,0,0
