stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,78.69,888.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.84,0,0,0,0,0,0,0,0,0,0,0
  5-6,20.93,402.46,0,0,0,0,0,0,0,0,0,14.89,0,0,0,0,0,0,0,0,0,0,0,22.56,0,0,0,0,0,15.59,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.2,0,0,0,0,0,0,0,0,0,7.16,0,0,0,0,0,0,0,0,0,0,0,78.4,0,0,0,36.24,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,12.19,0,0,22.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.82,40.23,0,0,4.07,0,0,0,0,4.78,0,0,0,0,0,0,0,0
 14-21,0,0,3.96,88.69,24.01,10.48,0,1.99,0,13.56,7.39,1.02,3.38,0,0.96,0,1.86,0,0,18.45,0,0,5.03,129.59,12.79,0,5.36,3.09,0,26.2,3.84,13.37,1.06,1.05,6.86,56.19,0,0,14.98,0,0
 24-34,0,0.83,0,111.12,2.54,5.61,0,8.71,0.89,9.45,2.29,0,4.46,4.63,1.75,0.7,8.54,0.69,0,47.62,0,0,38.38,196.01,3.58,4.61,10.15,0,0,22.65,0,0.95,0,0,0,58.9,0,0,63.9,0,0.81
 36-46,0,0,0,58.74,5.1,10.96,0,3.4,1.5,30.93,2.85,0,6.41,38.4,0,0.56,17.42,0,0,119.37,0,3.34,31.58,161.05,8.95,2.23,4.69,0,0,56.58,0.65,5.8,0,5.47,0,62.32,0,0.85,64.34,0,0.71
 48-58,3.07,0,0,37.81,2.7,16.81,0.38,1.34,5.44,32.54,0.47,16.13,5.22,50.09,0,0,10.92,2.58,1.7,247.28,0,2.67,27.12,100.56,2.48,2.94,5.43,0,0,43.62,0,0,1.49,3.27,0,17.18,0,0,56.53,0,2.42
 60-70,0,0,0,55.31,0,40.56,3.93,5.86,3.23,67.3,1.84,12.53,3.46,63.38,0,0,8.54,0,0,503.08,0.85,4.38,32.29,124.31,0.75,0.89,4.83,0,2.69,39.56,0,0,0,0,0,16.77,0,5.79,67.82,0,1.39
 72-82,0,0,0,49.36,0.51,52.52,6.69,3.89,11.11,35.99,0,8.43,13,66.78,2.75,1.66,10.84,0.97,0,853.13,2.11,10.67,36.71,144.76,2.48,3.04,14.16,0,0.59,17.84,0,0,0,0,0,14.19,0.62,30.12,50.94,7.17,0
 84-94,0,0,0,101.86,1.61,47.47,5.65,11.54,10.18,52.78,3.76,11.7,15.94,78.34,5.92,0.97,23.49,3.62,0,807.12,0.62,21.04,48.24,137.19,0,0.6,20.85,0,0.79,103.03,0,0,0,12.04,0,16,0.83,29.26,84.02,5.95,1.08
 96-106,0,0,0,126.34,11.68,35.92,20.97,10.04,7.37,51.45,8.97,0,21.09,90.92,0,0.76,19.62,0.6,0,748.9,6.19,23.62,61.69,158.53,2.24,7.04,30.05,0,0.87,67.22,0,0,0.87,3.63,0,0,5.62,53.99,138.45,5.32,0
108-118,0.45,0,0,174.7,12.47,23.58,27.41,34.66,13.51,59.35,5.86,0,8.27,63.81,1,5.15,16.76,3.39,0,924.26,9.53,16.65,55.19,292.73,5.84,1.26,26.03,0,3.46,88.12,0,0,0.83,3.63,0,9.55,1.28,51.49,91.91,4.34,1.13
120,1.12,0,0,215.7,0,76.13,48.68,40.83,19.98,88.94,4.7,0,21.33,112.62,0,0,12.71,10.58,0,761.33,2.91,4.13,56.22,311.53,0,5.38,35.16,0,2.54,74.96,0,0,0,6.3,0,3.73,0,44.71,153.13,10.77,0
