stage,epidermis,eye,glial,gut,mesenchyme,neural,olfactory,spinal_cord,visceral_smooth_muscle
 14-21,0,0,0,0,0,0.83,0,0.99,0
 36-46,0,0.97,1.38,0,0,16.65,0,4.84,0
 48-58,0,1.59,7.88,0,0.77,3.58,0.86,3.46,0
 60-70,0,5.04,0,0,0,9.27,0,0,0
 72-82,0,0.62,0,6.18,0,8.73,0,0,0
 84-94,0,14.52,0,18.4,0.97,0,0,0,0
 96-106,0,0,0,21.99,0,6.23,0,0,0.58
108-118,1.4,0,0.85,16.57,0,0,0,0,0
120,0,0,0,59.75,0,0,0,0,0
