stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,11.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.17,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,6.86,0,0,0,7.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.91,4.75,0,0,23.38,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.09,1.49,4.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.27,0.86,0,0,0,0,5.37,0,0.95,0,4.29,0,0,0,0,0
 24-34,0,0.71,0,2.3,0.76,0,7.93,0,0,0,0,0,0,0,1.49,0.97,2.33,0.74,0,2.26,0.61,0,0,67.5,0,2.56,0,0,0,5.14,4.41,0,1.26,18.35,0,0,5.8,0,0
 36-46,0,0,0,0,0,0,16.73,0,0,0,3.32,0.59,0,0.67,0,0,0,0,0,5.59,0,0,2.52,83.03,0,2.61,1.08,0,0,1.64,2.55,0,0,18.41,0,0,0.65,0,1.4
 48-58,0,0,0,1.21,0,0,60.64,0,2.2,0.51,21.18,0,0,0,0,0,0.73,0,11.21,17.15,0.52,0,2.05,141.39,0,3.69,3.88,0,0,2.69,5.12,0,0,18.31,0,0,1.54,0,1.75
 60-70,0,0.89,0,1.69,0,0,137.9,0,0,0.62,30.81,5.91,0,0.6,0,1.56,0,2.1,1.22,37.48,2.04,0,0.74,142.61,0,3.36,0,0,0,1.33,19.03,0,0,8.17,0,3.82,0,0,6.47
 72-82,0,0.5,0,3.75,0,0,121.9,0,0,0,35.28,6.24,0,0.71,0.63,0.5,0.56,6.72,0,56.14,0,0,0.65,150.48,0,5.82,0,0,0,2.18,76.24,0,0,14.51,0.87,0.66,2.22,6.02,4.31
 84-94,0,3.51,0,12.87,7.71,0,104.81,0,0,2.65,12.45,8.33,0,8.52,0.8,7.2,0.87,0,3.88,29.17,0,2.12,1.79,120.61,0,3.44,2.48,0,2.48,22.22,122.18,0,0,4.72,3.04,0,11.51,0,10.63
 96-106,0,0,0,8.88,0,0,53.49,0,0,2.35,47.12,16.43,0,0,6.46,1.46,0,0,1.37,17.74,0,1.32,2.24,133.62,0,0,0.65,0,0,12.11,123.75,0,0,0,0.67,4.16,7.74,0,3.11
108-118,0,0,0,5.72,0,7.5,79.78,0.45,1.6,0,34.15,39.36,0,3.87,1.65,0.92,1.1,0.43,10.54,26.08,3.58,0,1.98,110.71,0.51,1.89,1.67,0,0,8.49,130.48,0,0,0,0.55,0.99,2.85,0.99,5.43
120,0,0,0,14.73,3.48,0,63.88,0,0,0,33.92,58.43,4.21,5.31,1.29,0,1.07,4.47,0,24.32,0,2.22,0,173,2.58,7.27,1.86,0,0,12.31,86.21,0,0,0,0,1.46,9.11,9,3.6
