stage,axial,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vasculature,xanthophores
  3-4,14.43,67.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.33,0,0,0,0,0,0
  5-6,6.33,89.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.89,0,0,3.7,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.18,0,0,11.91,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.11,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,1.54,0,0,0,0,0,31.78,0,0,0,0,0.72,0,0,9.54,0,0,0
 36-46,0,0,0,0,0,0,4.19,0,0,0,0,0,0,0,0,0,0.75,65.99,2.24,0,0,0,0.68,0,0,13.55,0,5.34,0
 48-58,0,0,0,0,0,5.42,0.38,0,3.09,0,0,0,0.4,0,1.63,0,3.93,149.79,0,0,0,0,3.58,0,0,15.25,0,1.36,5.59
 60-70,0,0,0,0,0,47.97,0,0,3.43,0,0,0,0,0,12.18,2.04,0.88,155.2,2.81,0,0,0,4.99,1.39,0,33.66,0,2.16,1.18
 72-82,0,0,0.84,0,0,115.91,0.69,0,3.65,0.9,0,0,0,0,3.3,0,0,211.22,1.31,0,0,0,3.28,0.5,1.06,21.84,1.68,0,0
 84-94,0,0,0.56,0,0,56.68,0,0,9.59,0,1.33,0.56,0,0.96,1.55,0,0,155.13,0,2.54,0,0,6.37,0.96,0,9.66,0,0.8,0
 96-106,0,0,1.54,0,0,87.05,0,2.11,15.79,0,0,0,0,1.08,0,0,0,142.82,2.43,0,0,1.51,2.27,0,0,1.8,0,1.62,0
108-118,0,0,0.52,0.85,1.44,40.99,0,0,9.81,0,0,1.62,0,0,2.06,0,1.04,151.76,1.07,0,0,0,2.05,0.5,0.57,2.94,0.44,1.86,0
120,0,0,7.02,0,0,18.41,1.18,0,5.7,0,0,0,0,0,4.2,0,0,270.61,1.62,0,0,0,4.11,0,0,7.12,0,0,0
