stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,55.41,816.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.36,0,0,0,0,0,0,0
  5-6,52.07,301.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.45,0,0,0,0,0,0,0
  7-9,0,0,0,3.85,0,0,5.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.99,0,0,0,7.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,7.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.3,4.1,0,0,20.04,0,3.49,4.75,0,0,0,0,0
 14-21,0,0,0.82,0,6.57,0,3.31,0,0,0,1.2,0.85,0,0,0,0,0,0,0,0,0,0,0,0.81,22.22,2.57,0,2.55,0,8.66,0.86,0,8.83,0,1.63,0,0
 24-34,0,0,0,0,3.93,0,4.73,0,0,0,2.77,0,0,2.65,0,0,0,0,0,0,3.3,0,0,1.9,113.7,1.07,0,0.69,0,21.17,0.63,0.65,32.41,0,16.71,0,0
 36-46,0,0,0,0,1.46,0,24.2,0,0,0.62,11.07,0,0,0.57,2.81,0,0,0,0,2.45,24.99,0,0.77,2.43,139.11,0,3.56,0,0,2.88,0.61,0.83,38.12,0,15.66,0,2.82
 48-58,0,0,0,0,4.3,0.68,32.12,0,0,0,15.26,0,0.7,0.44,0.87,0,0.62,0,0,1.09,28.7,0,0,2.88,142.89,0,1.08,0,0,21.98,0,0,63.22,0,13.88,0,1.64
 60-70,0,0,0,0,0,0,85.89,0,3.4,0.59,38.08,0,0,0,4.63,0,0.7,0.66,1.32,2.67,23.46,0,0,0.68,112.96,9.34,2.13,0,0,4.15,0,0,27.84,0,13.55,0.81,8.17
 72-82,0,0,0,0,0.5,1.61,68.36,0,0.62,0,55.39,2.45,0,0.56,5.02,0,2.18,0.79,5.43,0,41.92,0.88,2.41,0.71,184.25,0,4.88,1.1,0,7.2,0,0,13.2,0,34.04,0,1.32
 84-94,0,0,0,0,5,0,73.98,0,0.92,0,22.9,3.93,0,1.27,8.97,0,2.79,0,0,2.16,19.53,1.81,2.37,2.22,101.97,0,0.71,7.2,0,13.13,6.06,0,13.17,0,17.63,0,7.88
 96-106,0,0,0,0,7.52,1.74,58.46,0,0,10.54,53.5,4.5,0,2.2,7.35,1.65,11.49,0,0,1.3,33,0,5.43,8.73,53.72,0.62,2.18,0,0,17.41,3,0,8.56,0,29.41,4.16,0
108-118,0,0,0.92,0,5.96,1.76,78.97,0.86,0.44,0.48,46.18,3.54,0,0.52,5.03,1.98,8.26,0.53,0,0,16.62,7.12,0.91,2.86,83.74,0,2.75,3.5,0,19.13,4.34,0,2.17,0.89,24.12,0,0
120,0,0,1.37,4.41,3.57,0,55.65,0,0,0,87.64,18.3,0,0,30.23,2.06,11.99,0,10.24,0,18.26,0,0,0,109.95,0,0,8.31,0,11.46,2.51,0,0,0,18.29,0,2.08
