stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,38,2291.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101.54,0,0,0,0,0,0,0,0
  5-6,266.29,2986.35,0,0,0,0,0,0,0,8.74,0,0,0,0,0,0,0,0,0,0,81.16,22.69,0,0,30.14,61.76,0,0,0,0,0,0,0,0
  7-9,42.79,64.87,157.23,0,0,274.83,0,0,0,126.69,0,0,0,0,0,0,0,0,0,0,2823.5,84.73,0,0,1189.72,5.76,24.7,0,0,0,0,0,0,0
 10-12,0,78.24,86.89,0,4.67,213.51,0,0,0,52.71,0,0,0,0,0,0,0,0,0,0,1850.32,0,0,0,705.67,3.3,14.18,0,68.08,0,16.83,0,0,0
 14-21,0,0,2.76,20.47,2.61,4.65,0,2.33,0.98,3.03,1.1,0,1.72,0,0,0,8.74,0.86,0,4.4,208.19,2.26,0.92,1.9,5.45,8.52,0,14.62,0.86,8.51,37.79,0,0,0
 24-34,0,0,1.18,13.56,3.49,112.74,0.72,13.87,0,0,0.92,0,2.43,0.64,0,0,58.21,0,0,13.43,814.65,2.85,3.21,3.13,0,10.64,0,0,0,1.4,156.23,0,8.45,0
 36-46,0,0,0,9.84,1.32,443.87,0,11.63,0,0,0.97,0,0,0.56,0,2.7,44.61,0,2.56,15.47,870.08,0,0.79,4.29,0,13.53,0,0,0,0,147.81,0,18.39,2.45
 48-58,0,0,0,5.64,0.52,453.91,0,10.82,1.96,0,2.16,0,0.55,3.3,0.41,0,37.66,0,0.9,6.72,286.95,1.16,0.57,0,0,4.36,0,0,0,0,28.11,0,0.91,0
 60-70,0,0,0,8.3,0,404.47,0,20.78,0.95,0,0,0.61,0,0,0,0,51.72,0,0,0.59,220.14,0,0.78,0,0,4.44,0,0,0,0,7.21,0,3,9.49
 72-82,0,0,0,4.79,0.59,97.35,0,17.89,1.01,0,2.28,0,0,0,0,0,15.25,0,1.09,1.57,51.31,0,0.67,0,0,0,0,0,0,0,0,0.5,0,0
 84-94,0,0,0,5,0.78,97.25,0,11.05,0,0,0,0.82,0.56,0,0,0,34.71,1.73,10.63,3.62,65.85,1.8,0,1.48,0,0,0,0,0,0,1.89,0,11.06,0
 96-106,0,0,0,2.88,0,35.97,0,11.63,2.37,0,0,0,1.06,0,0.96,0,5.03,0,0,1.93,42.56,0,0,0,0,3.14,0,0,0,0,0,0,0,0
108-118,0,0,0,1.47,3.23,51.33,0,9.41,0,0,0,1.46,0,0,0,0,10.84,0,1.04,2.52,58.23,0,0,0,0,0,0,0,0,0,0,0,1.88,0
120,0,0,0,1.7,1.62,78.49,0,29.72,0,0,0,0,0,0,0,0,14.83,0,0,0,107.17,2.45,0,0,0,0,0,0,0,0,0,0,2.72,0
