stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,12.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,27.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,8.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.62,0,0,0,11.56,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.83,10.36,0,0,1.91,0,0,0,1.67,1.14,0,2.74,0,1.77,0,0,0,0,6.54,0,0,1.87,25.42,5.71,1.55,0.81,0,17.64,0.87,0,0,10.99,0,0,3.48,0,0.84
 24-34,0,0,0,0.62,0,0,7.59,0,1.42,0,3.84,1.31,0,3.8,0,4.51,0,0,0,3.43,6.15,9.66,0,5.31,94.91,2.74,4.2,2.77,0,54.99,0,1.33,2.58,23.76,0,0,9.97,0,0.63
 36-46,0,0,0,7.95,0,0,18.19,2.6,0.56,1.38,5.46,0.72,0,0,0,0.63,0.94,0,0,1.44,15.7,4.72,0,3.85,130.63,10.85,0.64,1.9,0,69.59,0,0.86,0,21.52,0,0,6.42,0,9.77
 48-58,0,0,0,1.44,1.51,0,37.42,0,0,0,14.89,0,0,0,0,4.94,0,0,0,0.7,28.96,1.89,0,4.12,139.61,8.95,7.55,8.46,0,46.13,0,0,0,17.3,0,0,0.72,0,0
 60-70,0,0.7,0,2.88,0,0,34.39,0,0,0,17.91,1.05,0,0,1.51,0,0.9,0,0,0,33.12,0,0,2.08,132.79,0.66,2.68,1.03,0,30.66,0,0,0,41.89,0,0,0,0,2.99
 72-82,0,1.73,0,9.2,13.65,0,42.01,0,0,0,18.85,1.9,0,0,0,2.6,0,2.16,0,0.87,62.75,4.09,0,1.33,79.84,1.55,7.07,6.12,0,12.17,0,0,0,3.27,1.97,0.51,5.36,0.91,3.8
 84-94,0,0,0,8.58,6.7,0,21.85,0,0,0,23.02,3.6,1.22,3.68,3.28,2.9,5.42,0,0,8.57,33.4,7.38,0,0.71,68.2,0.65,1.74,0,0,48.74,0,3.71,0,1.39,7.04,0,7.93,0,0
 96-106,0,1.57,0,11.74,0,0,11.59,0,0,0.64,14.16,12.09,0,0,0.72,3.26,0,4.62,0,0,22.93,8.48,0,2.6,46.34,1.52,5.54,2.99,0,22.18,0,0,0,1.91,2.25,0,1.96,2.34,0
108-118,0,1.44,0,10.41,0,0.95,15.25,0.64,0.52,1.85,11.66,12.93,0,0,3.06,4.76,0,3.11,2.18,2.01,22.69,6.93,3.92,3.56,73.71,1.51,0,1.32,0,22,0,0.55,0,1.75,4.21,0.54,4.03,0,0
120,0,0,0,11.44,1.9,0,17.61,0,1.57,0,14.06,10.56,0,0,7.84,2.91,0,0,0,3.28,33.77,0,0,1.7,56.4,0,0,8.27,0,9.03,0,5.18,0,0,5.14,0,0,0,0
