stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,72.97,1852.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.63,0,0,0,0,0,0,0,0,0,0,0
  5-6,86.08,1230.53,0,16.03,0,0,0,0,0,0,0,0,11.6,0,0,0,0,0,0,0,0,0,0,0,44.4,17.23,0,0,9.77,0,22.2,0,0,0,0,0,0,0,0,0,0,0
  7-9,21.55,53.15,0,68.09,0,0,91.87,0,0,0,0,0,26.46,0,0,0,0,0,0,0,0,0,0,0,716.88,48.61,0,0,363.14,0,0,27.68,0,0,0,0,0,0,0,0,0,0
 10-12,0,46.83,0,94.14,0,5.53,53.33,0,0,0,0,0,10.72,0,0,0,0,0,0,0,0,0,0,0,1307.57,27.79,0,0,429.17,0,7.1,11.57,4.61,40.69,0,11.62,0,0,0,0,0,0
 14-21,0,0,0,3.84,27.57,7.85,15.57,0,0,0,2.78,3.66,1.73,2.7,0,2,0,0,0,0,20.55,0,0,16.43,186.86,6.11,0,0.83,7.15,0,3.31,2.02,23.09,5.14,0,32.37,55.25,0,0,0.85,0,0
 24-34,0,0,0,1.48,19.37,0.66,53.52,0.9,0.81,1.27,8.28,0,0,1.33,0,2.72,0,0.68,3.43,2.13,64.32,3.18,0,10.46,571.77,0,5.69,3.19,0,0,26.9,0,2.17,1.31,0.76,4.34,139.86,0,0,21.41,0,0
 36-46,0,0,0,0,18.17,0,125.26,0,1.2,4.2,23,0,0,1.56,0,0,8.41,2.16,2.37,0,88.94,0,0,20.42,1005.72,2.01,8.46,7.35,0,0.77,26.64,0,0,1.06,0,0,223.28,0,0,7.96,0,1.72
 48-58,0,0,0.54,0,7.03,1.19,202.37,2.49,1.73,7.45,50.49,0.41,0.48,0.94,0,0,0.95,1.33,0.37,1.67,78.9,0,2.62,10.59,766.1,0.39,2.94,2.02,0,1.08,15.89,0,0,0,0,0,156.84,0,0,5.3,0,8.26
 60-70,0,0,0,0,11.76,5.28,453.84,4.33,4.18,2.43,45.47,6.1,0,0,3.27,0,0,0,2.19,4.92,132.12,3.18,2.78,16.94,955.2,4.19,8.24,3.36,0,0,9.68,0,0,1.68,0,0,106.89,0,2.45,5.45,0.94,10.44
 72-82,0,0,0.53,0,11.89,14.32,182.69,0,0.51,0,40.45,2.14,0.55,2.17,3.56,0.56,0,2.77,0,0.6,73.71,0.79,6.97,6.78,514.02,1.23,0.79,4.99,0,0.89,16.67,0.56,0,0,0,0,55.29,0,0.52,7.16,2.74,5.42
 84-94,5.55,0,0,0,21,4.16,160.24,0,2.12,2.43,24.61,7.1,2.46,0,5.77,0.6,6.42,1.05,9.98,0,58.93,0,3.23,9.08,357.43,0,4.16,8.1,0,0,20.51,0,0,2.39,0.63,0,48.28,1.03,0.68,16.4,0.57,18.56
 96-106,0,0,0,0,13.99,22.34,136.69,0,2.76,3.22,24.56,7.74,0,0,2.77,1.73,3.78,2.09,2.83,0.57,81.8,0,3.76,10.08,286.8,1.39,4.46,5.82,0,0,33.52,0,0,1.95,0,0,1.5,0,3.93,13.19,2.91,0
108-118,0,0,0,0,15.98,6.72,173.7,2.42,3.48,2.08,24.9,4.53,0,1.1,4.87,2.03,3.86,0.6,1.48,1.35,119.48,2.42,10.33,10.07,308.17,0,0,3.48,0,0,26.63,0,0,0,0,0,17.04,0,4.08,11.71,5.7,9.22
120,0,0,0,0,30.42,6.85,136.27,1.61,1.8,0,46.49,0,0,0,7.2,0,0,1.88,5.06,10.94,89.4,0,3.2,7.6,320.75,8.71,8.33,3.89,0,0,21.25,0,0,0,0,0,10.16,5.7,0,52.25,0,6.47
