stage,blastomeres,endoderm,eye,fin_mesenchyme,glial,mesenchyme,mural_cell,muscle,neural,otic,paraxial_mesoderm,pronephros,somites,spinal_cord
  5-6,7.04,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,8.22,0,0,0,0,0,0,19.98,0,13.79,0,0,0
 10-12,0,0,0,0,0,0,0,0,12.92,0,35.8,3.14,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,1.97,0
 24-34,0,0,0,0,0,0,0,0,0.68,0,0,0,0,0.78
 36-46,0,0,0,0,0,2.38,0,0,0,0,0,0,0,0
 48-58,0,0,0.74,0,0,0.8,0,0.55,0,0,0,0,0,0
 60-70,0,0,0,0,0,3.02,0,0,0,0,0,0,0,0
 72-82,0,0,0,1.07,0,2.67,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,7.24,0,0,1.48,0,0,0,0,1.3
 96-106,0,0,0,0,1.4,2.84,0,0,1.57,0,0,0,0,0
108-118,0,0,0,0,0,0.86,1.6,0,0,4.87,0,0,0,0
