stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,9.61,68.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,51.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.58,0,0,0,15.34,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,9.01,0,0,0,0,0,0,0,0,66.43,7.88,0,0,4.82,0,0,18.73,0,0,0,0,0,0,0
 14-21,0,0,0.95,15.17,6.35,0,0,0,0,1.05,0,0,0.97,0,0,0,5.43,0,7.08,21.45,0,0,0,1.18,0,0,0,4.84,5.74,0,0,1.22,0,0
 24-34,0,0,0,1.37,0,0,0,0,1.46,0,0,0,5.02,0,2.01,0,18.91,0,6.91,19.69,5.04,0.77,0,0,0,0,0,3.44,6.05,0,0,5.91,0,0
 36-46,0,0,0,0,0,1.39,0,2.76,0.79,0,0,3.14,7.41,6.81,0.66,0,78.97,0,24.72,50.07,1.77,2.4,1.66,0,0,0,0,0,17.84,0,0.85,3.12,0,0
 48-58,0,0,0,2.54,0,4.25,0.8,4.58,0,0,0,1.73,12.18,0,0,0,62.66,0.53,12.47,42.33,0.56,0,0.37,0,0,0,0,0,7.73,0,0,13.02,0,0
 60-70,0,0,0,10.85,0,6.67,0,10.06,3.14,0,0,6.52,34.6,0,0,0,39.52,0.84,5.39,22.43,0,0,4,0,0,0,0,0,7.32,0.77,0,18.99,0,2.22
 72-82,0,0,0,15.4,0,10.08,0,3.5,3.69,0,0,3.43,38.03,2.24,0,3.14,150.62,2.16,6.41,16.95,0,0,0,0,0,3.14,0,0,20.93,9.43,2.15,35.42,6.71,0
 84-94,0,0,0,12.38,0.92,14.4,0.57,9.21,8.89,2.41,0,3.73,58.32,0,0,0,196.02,1.79,20.2,32.55,0,0,0,0,2.48,0.95,0,0,2.68,0.57,1.31,42.24,11.08,0
 96-106,0,0,0,23.99,8.27,23.68,5,23.95,13.24,1.86,0,4.48,87.85,0.86,1.72,5.66,399.9,12.63,41.69,66.93,0,2.52,3.5,0,14.17,5.93,0,0,0.63,0,5.22,66.02,19.81,0
108-118,0,0,0,22.02,0,10.27,1.68,7.96,8.1,1.2,0,3.93,79.18,1.11,0,0,306.08,3.72,12.99,53.42,0,1.44,1.43,0,11.55,0,0.94,0,12.85,5.22,3.62,68,11.28,2.86
120,0,0,0,16.29,0,7.9,6.81,8.72,22.91,0,0,15.81,59.28,0,0,0,541.66,27.52,14.06,49.29,0,8.07,2.92,0,25.31,0,0,0,5.77,0,11.29,55.06,20.15,0
