stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,iridophores,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord,vasculature
  3-4,0,263.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,23.14,256.13,0,0,0,0,0,0,0,0,16,0,0,0,11.43,0,0,0,0,0
  7-9,0,10.16,15.1,0,0,14.85,0,0,0,0,191.2,3.21,0,0,55.07,0,0,0,0,0
 10-12,0,15.83,5.83,0,0,11.9,0,0,0,0,82.89,0,0,0,3.76,0,0,6.67,0,0
 14-21,0,0,0.96,0,0,3.66,0,0,1.42,0,43.95,0,0,0,0,0,4.47,0,1.73,0
 24-34,0,0,0,0,0,10.26,2.05,0,5.89,0,59.65,0,0,0,0,0.92,0,0,11.36,2.41
 36-46,0,0,0,0,0,17.59,3.07,0,5.2,0.63,32.73,0,0.65,0,0,0,0,0,13.19,0
 48-58,0,0,0,0,0,22.1,0.39,0,0.5,0,14.42,0,0,1.85,0,0,0,0,3.19,0
 60-70,0,0,0,0,0,13.21,0.92,0,0.7,0,15.2,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,3.08,0.78,0,0,0,3.45,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0.59,3.58,0,0.66,0.66,0,1.14,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0.76,0,1.78,0.72,0,0.6,0,1.08,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0.68,0,0,0.85,0,5.15,0,0,0,0,0,0,0,0,0
120,0,0,0,0,2.76,9.25,5.97,0,0,2.33,0,0,0,0,0,0,0,0,0,0
