stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,17.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,6.65,0,0,0,0,134.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.79,0,0,0,5.71,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,21.38,0,25.61,0,0,769.47,0,0,0,0,0,6.38,0,0,0,0,0,0,0,0,0,0,0,2695.67,0,0,0,15.66,0,0,0,24,0,0,5.88,0,0,0,0
 14-21,0,0,1.23,3.53,86.08,72.92,439.78,0,0,0,334.35,0.84,2.04,1.63,0,3.92,0,0.85,0,0,9.35,0,0,8.28,5390.23,1.03,0.86,27.28,1.32,0,6.52,3.9,6.54,0,8.17,763.81,0,0,0,0
 24-34,0,0,0,0.74,49.76,5.58,308.68,0,2.82,0.83,212.6,0,2.81,1.06,1.2,4.36,0.7,13.63,0.99,0,12.32,2.22,0,13.3,5481.85,0.75,3.53,42.79,0,0,31.71,0,1.59,12.53,7.23,1070.78,0,3.33,0,0
 36-46,0,0,0.85,0,16.14,0,209.69,1.64,0,0,219.29,0,0,0,1.3,9.04,0,12.73,0,0,6.77,0,0,0.73,4359.04,0,1.02,64.66,0,0,6.02,0,0,0,0,947.64,0,0,0,0
 48-58,0,0,0,0,17.69,1.16,178.15,0,0.5,2.17,289.47,0,1.26,0,0,7.04,0,16.15,0,5.71,15.61,0,0,0.82,3533.75,7.44,0,54,0,0.45,18.67,0,0,0,0,575.19,0,1.22,0,7.15
 60-70,0,0,0,0,16.15,0.66,149.06,0,3.43,0,269.6,0,0,0,0,0,0,17.68,0,0,7.49,0,0.76,2.03,2763.35,0,0,20.23,0,0,5.53,0,0,0,0,230.81,4.87,0,0,0
 72-82,0,0,7.22,0,30.98,3.69,250.17,0,0,2.43,364.24,1.94,0,0,6.56,0,0,35.46,3.49,0,30.23,0,0.93,3.54,2848.58,0,4.05,49.43,0,0,2.82,0,0,0,0,218.36,45.35,5.29,1.07,0
 84-94,0,0,0,0,15.68,2.9,227.87,0.74,2.29,0.86,247.4,2.83,0,0,1.21,2.01,0,48.36,0,0,31.68,0,1.83,0,1905.01,0,6.59,60.67,0,0,1.48,0,0,0,0,179.75,89.85,3.13,2.93,27.07
 96-106,0,0,0.99,0,43.41,15.35,249.99,0,0,2.75,294.42,5.53,0,0,2.76,0.64,0,39.63,32.07,0.86,18.73,0,1.34,2.39,1383.34,4.74,0.59,77.63,0,0,21.56,0,1.38,0,0,109.54,150.83,1.15,0,8.81
108-118,0,0,6.98,0,26.69,1.49,146.25,0,0.85,0,325.64,1.55,0,0,1.87,1.37,0,36.51,1.1,0,34.53,0,4.08,0,2245.86,0.48,3.03,52.23,0,0,14.32,0,3.75,0,0,82.35,113.5,2.94,1.3,0
120,2.82,0,0,0,18.59,10.87,241.02,0,0,0,429.94,0,0,0,2.16,0,0,17.61,3.79,0,2.88,0,0,2.8,2091.05,0,0,59.16,0,0,11.81,0,0,0,0,102.81,33.53,0,0,0
