stage,blastomeres,endocrine_pancreas,epidermis,eye,fin_epithelia,gut,iridophores,mesenchyme,mural_cell,muscle,neural,pericytes,spinal_cord
  3-4,16.95,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.81,0,0,0,0,0,0,1.42,0,0.98
 24-34,0,1.26,0,0,0,0,0,0,0,0,9.59,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,27.26,0,0
 48-58,0,0,0,0.62,0,0,0,0.48,0,0,21.16,0,0
 60-70,0,0,0,4.95,0,0,0,1.44,0,2.02,17.76,0,1.03
 72-82,0,0.5,0,1.46,0,0,0,0,0,0,21.53,0,0
 84-94,0,0,0,0,0,2.58,1.97,0,2.63,0,14.62,0,0
 96-106,0,0,0,0,0.61,0,0,2.23,0,0,6.85,0,0
108-118,0,0,0.88,0,0,0,0.49,0,0,0,9.01,0.91,0
120,0,0,0,0,2.22,9.76,0,0,0,0,48.21,0,0
