stage,blastomeres,epidermis,eye,fin_epithelia,glial,ionocyte,lateral_line,liver,mesenchyme,mucous,neural,paraxial_mesoderm,periderm,pronephros,spinal_cord
  3-4,58.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,92.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,22.01,5.91,0,0,0
 14-21,0,1.03,0,0,0,0,0,0,0,1.14,0,0,0,0,0
 24-34,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,1.05,0,0,0,0,0,0,0,0,0,0,0,3.46
 60-70,0,0,14.58,0,0,0.67,0,0,0,0,0,0,0,0,0
 72-82,0,0,2.72,0,0,1.64,0,3.14,0,0,1.39,0,0,2.8,0
 84-94,0,0,2.81,0,0,1.03,0.89,21.14,0,0,1.34,0,0,0,0
 96-106,0,0.79,0.6,0,1.8,1.47,0,35.12,0.74,0,5.66,0,2.35,0,0
108-118,0,2.62,1.64,0.48,0,1.19,2.44,5.59,1.59,0,3.14,0,0,0,0
120,0,0,0,0,0,0,0,53.22,0,0,6.13,0,0,0,0
