stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,heart,iridophores,liver,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,40.61,820.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.5,0,0,0,0,0,0,0,0
  5-6,36.53,415.09,0,0,0,0,0,0,0,0,0,0,0,0,16.61,0,0,0,7.63,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,6.7,0,0,0,0,0,0,0,69.86,0,0,11.32,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.62,0,0,0,0,0,0,0,0,0,0,0,20.74,0,0,0,0,0,4.75,0,0,0,0,0,0
 14-21,0,0,0,2.8,0,0,0,0,1.28,0,0,0,3.16,1.05,14.82,0,0,0,0,1.23,2.03,1.65,7.78,0,3.34,0,0
 24-34,0,0,0,0,0,0,4.33,0,0,0,0,0,1.81,1.54,60.11,2.8,0.81,0,3.49,0,0,0,18.82,0,0,0,0
 36-46,0,0,0,0,0,0,2.92,0,2.14,1.28,0,0,1.58,0.66,130.01,0,0,0,0,0.81,0,0,18.12,0,0.71,0,0
 48-58,0,0,0,2.16,0,0,13.06,0.69,1.18,0,0,0,6.97,0,258.16,0,0,0,1.18,0,0,0,25.43,0,0,0,0
 60-70,0,0,0,1.15,0,0,65.26,0,35.17,0,0,0,10.54,0,562.14,0,0,0,0,0,0,0,45.94,1.17,0,0.98,0
 72-82,0,0,0,4.45,0,0,140.78,2.62,62.28,0,0,0,22.17,0,742.69,0,2.9,0,0.62,0,0,0,50.67,2.06,0,6.15,7.32
 84-94,0,0,0,2.43,1.66,0,90.76,1.38,56.34,0,0,0,14.2,0,557.7,9.74,0,0,0,0,0,0,47.48,2.26,0,0.75,3.26
 96-106,0,0,0,3.08,4.4,0,154.38,1.65,106.86,0,0,9.42,25.47,0,547.19,0,0,0,0.65,0,0,0,38.57,6.99,0,0.62,0
108-118,0,0,0,2.7,0,1.55,182.4,0,117.88,0,0,5.58,45.15,2.26,572.5,0,0,0,0.96,0,0,0,21.41,5.41,3.7,0,0
120,0,0,0,0,10.64,11.16,220.77,0,201.97,0,8.53,0,49.01,4.31,1013.02,0,0,0,0,0,0,0,39.51,3.79,0,0,0
