stage,blastomeres,epidermis,eye,glial,iridophores,lateral_line,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,presomitic_mesoderm,pronephros,somites,spinal_cord,visceral_smooth_muscle
  5-6,9.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,7.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,7.1,0,0,0,0,0
 14-21,0,0,0,0,0,0,0.82,0,0,1.18,0,0,0,0.92,0,0.99,5.49,0
 24-34,0,0.6,0,0,0,0,0,0,1.09,1.39,0.78,0,0,0,0,0,4.09,0
 36-46,0,0,1.1,0,0,0,0,0,1.16,4.58,0,0,0,0,0,0,3.18,0
 48-58,0,0,1.25,0.52,0,0,0,0,0,4.61,1.08,0,0,0,0,0,2.25,0
 60-70,0,0,2.82,0.86,0.85,0,1.4,3.88,1.07,0,0,0,0,0,0,0,1.88,0
 72-82,0,0.67,0,0,0,0,3.62,0,0,1.05,7.29,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0.6,0,0,1.09,0,0,0,0,3.22,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0
108-118,0,1.04,0,0.68,0,0,0.55,0,0,0,0,3.07,0,0,0,0,0,1.11
120,0,0,1.73,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0
