stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,52.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,71.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.82,6.85,0,0,0,6.96,0,0,0,0,0,7.05,0,0,0,0,0,0,0,0,0,0,0,58.87,0,0,0,20.56,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.45,0,0,0,3.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.94,0,0,0,20.1,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.97,3.52,2.41,0,0,0,0,0,0,0,0,0,0,0,0,0,33.95,0,0,2.72,197.16,0,3.33,0,0.84,0,6.34,0,1.12,0,0,1.26,55.19,0,0,0,0,0
 24-34,0,0,1.05,4.79,0,4.68,0,0,0,11.26,2.67,0,3.34,0,0,0,0,0,0.68,241.22,0,0,15.56,1563.65,0.62,19.33,7.67,0,0,8.12,0,0,0.78,1.26,1.58,254.03,0,0,14.4,0,0
 36-46,0,0,0,0.64,0,46.49,3.62,0,0,146.95,0,0,0.89,0,0,0.74,0,0,0.85,563.73,0,0,16.08,2956.63,0,5.5,2.55,0,1.69,3.98,1.02,0,0,10.13,0,588.76,0,0,17.67,0,0
 48-58,0,0,0,0.92,0,163.71,2.34,0.39,3.78,237.16,0,0,0.69,1.05,0.5,0,0,4.26,0,472.38,0,2.95,10.08,2223.07,0,7.83,2.73,0,0,0.65,0,0,0,5.91,0,523.99,0,0,57.64,0,2.69
 60-70,0,0,0,11.2,0,271.55,0,0,0,264.02,0,0,5.51,10.76,0,0,0,1.77,0,288,0,11.63,2.83,2050.57,0,2.46,0,0,3.6,4.35,0,0,4.25,0,0,345.5,2.51,0,79.43,0.73,7.92
 72-82,0,0,1.07,4.75,5.59,142.03,0,0.5,1.19,225.33,0.66,0,9.46,6.99,0,0,0,0.64,0,268.9,0,4.11,6.46,1326.56,0,3.71,0.52,0,23.22,3.66,0,0,0,0,0,171.68,0.87,0.67,74.58,0,0
 84-94,0,0,0.7,7.33,0,167.12,0,0,0,164.35,0,0,22.36,2.11,0,7.61,1.1,3.05,0,181.37,1.42,18.21,4.4,792.04,0,0.93,0,0,12.62,0,0,0,0,0,0,131.22,0,4.37,129.88,0.63,4.35
 96-106,0,0,0,10.88,0,116.16,0,0,9.91,265.87,4.11,0,57.32,1.24,0.78,0,0,5.62,0,258.17,0,9.8,14.65,713.52,0,2.45,2.12,0,38.54,15.19,0,0,0.87,0,0,58.27,0,2.52,133.69,0,0
108-118,0,0,0,4.87,0,54.35,1.3,0,1.47,236.29,1.49,0,34.59,2.04,1.73,0,4.05,20.59,0,241.65,0,22.14,3.82,676.44,0,3.47,1.96,0,78.59,10.92,0,0,0,0,0,26.04,2.44,10.09,95.34,2.93,0
120,0,0,0,6.84,3.04,118.99,1.95,0,0,252,0,0,66.52,1.14,0,0,2.64,14,0,190.97,0,28.36,12.48,647.34,0,0,1.61,0,103.72,6.92,0,0,3.15,0,0,29.84,1.37,5.19,47.22,5.66,0
