stage,blastomeres,epidermis,erythrocytes,eye,fin_mesenchyme,glial,iridophores,lateral_line,mesenchyme,mucous,neural,notochord,otic,pericytes,periderm,slow_muscle,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.71,0,0,0,0,0,0
  5-6,21.36,0,0,0,0,0,0,0,0,0,0,0,0,0,81.69,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.03,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,6.62,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.69,0,1.29,2.7,0,0,0
 24-34,0,0,0,0.61,0,0,0,0,0,0,3.13,0,0,0,2.86,0.65,0,88.89,0,0,0
 36-46,0,0,0,5.3,0,5.38,0,0,0,0,34.79,0,0,0,1.23,0,0,157.22,0,0,0
 48-58,0,0,0,37.62,0,6.71,0,0,2.26,0,92.34,0.45,0,0,0,0,0,135.82,0,0.73,6.5
 60-70,0,0,8.63,84.79,0,10.05,0,0,0,0,189.09,0,0,0.66,0,0,0,81.22,0,0,0
 72-82,0,2.1,0,140.16,0,10.18,0,0,0.79,0,211.42,0,0,0,0,0,0,55.87,0,0,0
 84-94,0,0.64,0,144.73,2.76,20.95,0,0,7.4,2.84,260.26,1.97,0,0,0,0,0,30.82,0,0,0
 96-106,0,1.5,0,124.7,0,27.21,0,0,0.94,0,183.13,0,0.59,0,0,0,0,22.81,0,0,0
108-118,0,1.64,3.04,106.2,0,24.23,0.82,0,0,0,173.28,0,0,0,0,0,0,26.7,0.68,0,0
120,0,0,0,126.76,0,29.92,0,2.85,0,0,440.91,1.12,1.47,0,1.88,0,0,4.47,0,0,0
