stage,axial,blastomeres,endoderm,eye,fin_mesenchyme,glial,mesenchyme,neural,otic,paraxial_mesoderm,periderm,pgc,spinal_cord
  3-4,54.59,2230.64,0,0,0,0,0,0,0,0,112.16,0,0
  5-6,46.07,825.52,0,0,0,0,0,97.39,0,0,12.37,0,0
  7-9,0,5.33,3.64,0,0,0,0,45.48,0,13.51,0,27.66,0
 10-12,0,0,9.08,8.82,0,0,0,24.7,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,3.07,0,0,0,3.99,0.85
 24-34,0,0,0,0,0,0,0,0.69,0,0,0,0,0.84
 36-46,0,0,0,0,0,0,0,2.83,0,0,0,2.24,0.82
 48-58,0,0,0,4.52,0,1.28,0,7.04,2.13,0,0.81,0.84,2.42
 60-70,0,0,0,0,0,1.09,0,1.33,0,0,0,0,0
 72-82,0,0,0,0,1.8,0,4.79,2.73,0,0,0,0,0
 84-94,0,0,0,0,0.7,0,0,0.6,0,0,0,0,0
 96-106,0,0,0,0.6,0,0,0,1.72,0,0,0,0.64,0
108-118,0,0,0,0,0,0,0,0,0,0,0.91,0.64,0
