stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,28.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,25.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.79,4.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.59,0,0,0,5.5,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0.95,0,0,0,0,0,0,0,1.02,5.35,0,0,0,0,0,0,0,0.94,0,0.86,9.51,0,3.33,0,0
 24-34,0,0,0,0.8,0,0,0,0,0,2.99,0,0,0.65,0,0,1.39,0,2.87,27.1,0,0,0,0,0,0,0,0,3.04,0,3.57,0,2.51,0,0
 36-46,0,0,0,0,0,0,0,0,0,4.59,0.72,0,0,0,1.14,3.8,0.57,0,16.98,0,0,0,0,0,1.05,0,0,4.76,0,10.31,0,1.31,0,0
 48-58,0,0,0,0,0,1.32,0,0,0.48,29.47,0,0,0,0,0,1.86,0,0.7,12.92,0,1.81,0,0,0,0,0,0,0,0,14.28,0,3.21,0,0
 60-70,0,0,0,0.72,0,4.04,0,0,0,111.65,0,0,0,0,0,6.14,0,0,5.06,0,0,0,0,0,0,0,0,0,0,26.52,1.31,0,0,0
 72-82,0,1.5,0,1.89,0,11.47,0,0,0,284.36,4.04,1.42,2.91,0,0,23.07,1.59,7.66,9.54,0.67,1.49,1.32,0,0,0.75,0,0,0,0,17.4,3.31,0,3.12,0
 84-94,0,0,1.01,6.32,0,1.63,0,0,0,231.51,2.93,0,0.83,2.41,1.37,31.89,3.81,0,5.33,0,0,0.99,0,0.79,0,0,0,4.67,0,15.34,4.86,0,0,0
 96-106,0,1.57,0,0.59,0,27.82,0,3.64,0,292.84,6.56,1.6,4.53,0,1.23,47.79,5.68,5.24,5.46,0,0,0,0,3.61,2.92,3.39,0,2.69,0,26.21,2.63,1.37,4.22,0
108-118,0,2.52,0,1.03,0,7.4,0,3.55,0,327.4,15.98,0.68,2.06,0.99,4.46,56.45,6.89,1.26,14.64,0,0,2.23,0,12.38,0.41,0,0,0.73,0,20.59,3.01,6.79,3.43,0
120,0,0,0,14.68,4.05,16.89,1.61,0,0,266.77,8.49,6.72,1.45,0,5.45,144.29,24.92,0,19.75,1.08,0,1.11,0,0,0,0,0,0,0,29.47,21.3,0,14.29,2.85
