stage,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,ionocyte,lateral_line,mesenchyme,mucous,muscle,neural,olfactory,otic,pericytes,periderm,presomitic_mesoderm,spinal_cord
 14-21,5.04,0,0,0,0,0,0,0,0.81,0,0,0,0,1.02,0,0,0,0,0.82,0
 24-34,0.74,0,0,0,0,0,0,0,0.64,0,0,0,0,4.05,1.19,0,0,1.55,0,0
 36-46,2.45,0,0,0,1.04,0,0,0,0,0,0.79,0,0,11.48,0,0,0,2.32,0,0
 48-58,3.96,0,0,8.95,0,0,1.02,0,0,0,0.49,0,0,16.95,0.56,0.61,0,2.97,0,0
 60-70,0.83,0,0,9.34,0,0,2.24,0,0,0,2.63,0,0,9.28,0,0,0,0,0,1.68
 72-82,4.38,0,0,6.85,0,0,1.2,0,0,0.9,3.37,0,0,30.98,0,0,0,2.11,0,2.72
 84-94,9.56,6.69,0,8.45,0,0.89,3.63,0,0,0,3.86,1.94,0,4.28,0.9,0,0,0.92,0,2.94
 96-106,13.16,0,0.92,22.18,0,0,0,0,0,0.58,8.52,0,0,10.05,1.9,1.24,0,3.12,0,1.53
108-118,10.5,0,0,42.68,0,0,0,1.44,0,0,1.43,0,0,17.52,0,0,4.05,0.57,0,0
120,24.28,0,0,4.36,2.43,0,0,0,0,3.39,2.23,0,1.81,52.17,0,0,0,4.23,0,0
