stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,45.18,136.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,26.54,9.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.67,0,0,4.48,1.06,0,0,0,0,0,1.88,0,0,0,5.86,0,0,0,0,0
 24-34,0,0,0,1.47,0,0,0,0,0,14.99,0,1.5,0,2.31,0,0,0,0,0,0,311.98,0,0,97.44,25.5,3.23,0,0,1.61,0,0,0,0,8.29,29.79,0,0,2.41,0,0
 36-46,0,0,0,3.77,0,0,4.34,0,9.74,51.09,5.12,3.88,0,12.78,0,0,0,0,0,0,1482.95,0,12.52,186.1,31.15,0,0,0,1.01,0,0,0,0.56,0,36.5,0,3.74,0,0.78,4.64
 48-58,0,0,0,7.54,0,0,55.57,0,24.22,196.03,4.25,0.49,0.39,23.45,0.54,2.75,0,0,0,0,2201.02,0,13.83,233.56,130.6,0.44,0,0.43,4.39,6.76,0,0,0,0,56.61,0,21.04,0,0.5,4.63
 60-70,0.81,0,0,15,2.26,0,55.61,0,21.97,305.66,11.7,7.67,0,25.73,0,0,0,0.8,1.2,0,4180.81,2.97,61.45,275.95,177.07,0,4.76,0.86,15.35,0,0,0,0.76,0,18.28,0,110.2,1.54,16.48,8.06
 72-82,0,0,0,21.55,4.13,0,196.03,1.33,34.97,511.6,26.13,57.11,0,39.27,0,1.92,0.59,0.55,0,2.19,6406.54,0,135.3,405.23,229.68,1.8,0,4.41,21.38,12.45,0,0,0,0,39.03,3.15,232.53,2.19,114.91,3.79
 84-94,0,0,0,37.82,0,0,226.86,0.87,44.82,346.82,12.28,61.91,0,37.64,3.31,4.03,2.51,0,1.81,0,5804.65,0,118.38,291.68,97.95,0,0.6,2.19,17.48,0.65,0,0.67,0,0,29.46,0,203.79,6.79,99.24,7.08
 96-106,0,0,0,38.8,11.11,1.52,211.66,4.58,49.33,457.5,37.97,109.74,0,51.69,11.51,0.81,0.92,4.22,4.21,0.63,6719.21,1.42,198.17,367.29,289.61,4.99,3.13,5.38,60.33,27.23,0,1.75,0,0,27.49,1.68,305.25,8.23,156.32,2.65
108-118,0,0,0,28.75,10.47,0.56,144.47,0.55,47.94,400.03,36.22,114.74,0,23.49,6.55,2.64,3.69,0.57,3.34,0,7573.56,3.41,164.18,343.44,291.16,4.47,0,6.48,67.89,3.23,0,0,0,0,31.59,6.38,254.35,20.92,125.8,6.55
120,0,0,0,23.87,0,5.97,95.98,0,39.94,257,21.6,23.55,0,45.39,3.57,4.42,0,0,1.84,0,4029.36,0,99.86,172.12,138.64,0,0,5.9,66.08,4.84,0,0,0,0,39.08,0,247.29,2.48,141.5,10.98
