stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.55,0,0,0,0,0,0
  5-6,0,32.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.47,0,0,8.31,0,0,0,0,0,0,0
 10-12,0,10.05,0,6.07,0,0,0,0,0,0,0,4.71,0,0,0,0,0,0,0,22.11,0,0,0,0,0,0,0,0,0,0
 14-21,1.39,0,0,0,3.64,3.4,0,0,0,60.15,0,0,0,0,0,5.29,0,0,0,36.1,43.69,0,0,18.63,89.19,0.81,187.85,0,0,0
 24-34,0,0,0,0,3.8,0,0.59,0,0.83,96.02,0,0,0,0,0,5.23,1.24,0,7.43,93.16,60.27,35.84,0,64.58,73.54,1.42,189.58,0,0,0
 36-46,0,0,0,0,0.59,0,9.87,0,2.07,53.8,0,0,0,0,15.36,1.13,0,0,0,116.97,5.49,48.66,0,62.31,44.08,0,119.95,0,0,0
 48-58,0,0,0,0,0,0,18.41,1.55,0,66.28,0,0,0,0,7.28,3.89,0,0.87,0,68.83,4.33,57.46,0,14.72,9.25,0,110.49,0,0,0
 60-70,0,0,0,0,1.17,0,7.15,0,0,51.72,0.6,0,7.17,1.4,0,0,0,0,0,58.57,0,8.94,0,7.82,2.56,0,78.79,0,0,0
 72-82,0,0,0,0,0,0,4.84,0,0,41.6,0.85,0,0,0,0,0,0,0,0,57.48,0,49.2,0,6.36,3.75,0,55.08,0,0,7.23
 84-94,0,0,1.26,1.01,0.63,0.8,7.68,0,0,51.44,1.52,0,0,0,0,1.81,0,0,0,36.33,0,31.07,0,15.94,5.98,0,57.48,0,0,0
 96-106,0,0,0,0,0,0,1.82,0,0,34.5,0,0,0,0,0.93,2.89,0,0,0,31.11,0,22.71,0,17.07,0.7,0,24.63,0,1.22,0
108-118,0,0,0,0,0,0,4.35,0,0,35.9,0,0,0,0,0,0.72,0,0,0,53.91,0,46.39,0,9.41,5.42,0,23.77,0,0,0
120,0,0,0,3.17,3.96,0,3.72,0,0,18.38,0,0,0,1.63,0,4.91,0,0,0,130.29,0,70.85,0,2.32,2.81,0,31.41,1.37,3.03,0
