stage,axial,blastomeres,endoderm,eye,hatching_gland,neural,notochord,paraxial_mesoderm,periderm,somites
  3-4,39.62,484.95,0,0,0,0,0,0,2084.68,0
  5-6,64.86,976.36,0,0,0,30.05,0,0,4526.83,0
  7-9,40.42,19.36,19.41,82.16,35.8,721.98,20.68,170.97,2230.49,0
 10-12,0,32.76,10.76,71.27,4.59,881.06,44.71,195.31,638.1,10.1
