stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,38.14,374.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.03,0,0,0,0,0,0,0,0,0
  5-6,7.03,211.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,4.03,0,0,0,0,0,0,0,5.4,0,0,0,0,0,0,0,0,0,4.49,0,0,0,3.3,0,6.94,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,14.19,0,0,0,0,0,0,0,0,0,5.3,0,0,0,5.8,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.83,0,1.79,0.88,0,0,0,1,0,0,0,0,0,0,0,0,0,4.65,0,0,0,0,0,0,0.84,0,1.04,1.85,0,0,0,0
 24-34,0,0,0,0,1.49,0,4.5,0.62,0,0.63,0,0,0,1.44,0,0,0,2.19,0,0,0,51.74,1.83,1.54,0,0,9.31,0,0,0,0,12.6,0,2.6,0,3.57
 36-46,0,0,0,0,0.75,0,14.74,0.58,0,0,0,0,0.69,0,0,0,1.58,3.2,0.72,0,3.69,52.59,4.59,2.74,0.62,0,24.2,0,0,0,0,12.39,0,0,0,0
 48-58,0,0,0,0,0.39,0,19.05,0.77,0,7.18,0,0,0,0,0,0,0,8.46,1.87,0,0.88,85.95,0,0.85,0,0,4.43,0,0,0,0,11.46,0,0.38,0,1.38
 60-70,0,0,0,0,4.89,0,25.33,0.59,0,1.94,0.57,0,0,0,0,0,0,7.47,0,0,0,46.48,0,0,0,0,1.18,0,0,0,0,5.95,0,0,0,0
 72-82,0,0,0.56,0,2.81,0,46.26,0,0,6.79,0.84,0,0,0,0.51,0,0,23.49,0,0,0,62.11,0,1.22,0,0,0.56,0,0,0,0,2.73,0,0,0.62,0.5
 84-94,0,0,1.99,1,1.42,0.72,33.92,0,0.78,1.18,0,0,0,1.1,0,0,0,7.9,0,0,0,15.35,0,0,0.65,0,2.54,0,0,0,0,6.67,0,0,0,1.92
 96-106,0,0,1.56,0,4.67,0,10.58,0,0,1.99,0,0,1.2,0,1.93,1.22,0,12.43,0.77,1.86,0,26.8,0,1.12,0.63,0,3.23,0,0,0,0,0.57,0.88,3.55,0,0
108-118,0,0,0,0,0,2.57,3.32,0,0,1.89,0,0,0,0,0,0,0,2.17,0,0,0,25.52,0,0,0,0,0.46,0,0,0,0,0,0,0,0,0
120,0,0,0,0,1.03,1.53,17.23,1,3.48,14.24,1.73,0,0,9.16,0,0,0,6.64,0,0,0,50.55,0,0,0,0,2.08,0,0,1.86,0,0,0,0,0,0
