stage,mesenchyme,mural_cell,neural,paraxial_mesoderm,pericytes,vascular_smooth_muscle
  7-9,0,0,0,3.84,0,0
 24-34,0,0,0,0,2.91,0
 36-46,0.8,14.4,0,0,0,0
 72-82,0,14.42,0,0,0,3.21
 84-94,0,0,0,0,31.67,0
 96-106,0,0,0.85,0,11.72,21.57
108-118,0,0,0,0,7.03,0
