stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,49.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,43.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.83,0,0,0,15.86,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,5.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.15,0,0,0,48.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,16.54,4.05,2.26,0,0,0,8.53,2.72,5.67,0.97,0,0,0,0,0,0,5.14,0,3.94,112.77,3.59,1.67,2.73,0.93,0,0,0.91,3.6,0,18.3,4.09,62.88,0,0,1.04,0,0
 24-34,0,3.98,0,0.83,1.28,15.68,0,0,0,2.8,0,0,0.89,1.73,0,0,0,0,0,4.17,0,5.92,511.96,0,9.31,14.23,0,0,0,0,0,0.62,0,0,259.57,0,0,6.89,0,3
 36-46,0,0.95,0,2.83,0,148.7,0,0,0,20.11,0,0,0,0,0,0,0.71,0,0,29.8,1.23,2.08,1105.83,0,8.36,3.89,0,0,0.65,0,0,0,0,0,412.37,0,0,10.47,0,0
 48-58,0,0,0,0.42,0,287.07,2.55,0.93,1.38,54.14,0,0,0,3.87,0,1.24,0,6.39,0,25.8,0.84,1.09,1370.83,0,2.25,3.33,0,0,1.04,0,0,0,0,0,354.53,0,0,4.25,0,0
 60-70,0,0,0,3.13,0,427.1,0,0.86,0,106.39,0,0,0,2.82,0,0,1.55,0,0,33.62,0,0,1574.06,0,2.21,37.38,0,0,1.1,0,0,0,0,0,283.02,0,0.71,0,0,0
 72-82,0,1.48,0.56,5.69,0.89,404.26,0,0,0,132.1,1.36,0,0,0.51,0,5.47,0.62,4.27,0,44.43,6.83,4.27,1387.38,0,5.84,20.56,0,0,0,0,0,0,0,0,156.65,2.03,0,1.3,1.51,21.74
 84-94,0,1.33,0,3.64,0,286.02,0,0,1.83,107.07,1.25,0,0.8,1.84,0,10.09,1.27,0,0,31.07,3.85,1.54,931.29,0,0.55,17.37,0,3.48,0,0,0,0,0,0,124.36,2,1.23,1.24,3.94,0
 96-106,0,0,0,6.8,4.59,306.24,0,1.81,0,191.68,0,0,3.05,1.19,0,1.57,1.72,0,0,36.27,1.84,0,744.27,0,4.42,35.75,0,1.36,0,0,0,0,0,0,71.72,0,0,7.01,1.39,8.2
108-118,0,0.91,0,9.79,1.51,244.46,0,1.3,1.27,163.95,0,0,2.95,4.5,0.95,5.16,1.44,0,0.44,31.62,4.84,0,896.09,0.43,5.69,33.29,0,0,2.3,0,0,0,0,0,66.24,1.02,0,0.49,1.62,0.82
120,0,0,0,8.65,0,250.8,0,0,0,164.45,0,0,0,3.42,0,0,0,0,0,12.09,0,2.36,1031.71,0,24.87,20.59,0,0,0,0,0,0,0,0,59.33,0,3.1,4.29,0,0
