stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,12.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.14,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.89,0,0,18.79,0,0,0,0,0,0,0
 14-21,0,0.98,44.94,0,0,0,0,0,0,1,0,13.64,0,4.03,0,0,0.95,18.94,0,0,0.8,0,0.89,5.96,0,0,0,0
 24-34,0,0,13.66,0,0,1.37,0,0,0,0,0,10.69,0,7.18,0.88,0,0,13.72,0,4.11,0,5.02,0,3.23,0,0,0,0
 36-46,0,0,3.29,0,0,2.02,0,0,1.09,0,13.31,4.45,0,12.71,1.81,1.63,0.89,19.38,0,1.27,0,1.79,0,7,0,0,0,0
 48-58,0,0,12.77,0.44,0,2.58,0.99,0,0.61,0.56,9.41,5.78,0,6.74,3.5,0.83,0,24.19,1.99,11.09,0,1.01,0,0.83,0,0,0.5,1.42
 60-70,0,0,13.83,0,0,4.98,0,0,0,0,17.73,0.9,0.84,4.01,0.57,0,0,8.83,0,2.01,0,6.18,0,0,0,0,0,0
 72-82,0,0,46.49,0,0,7.13,0.7,0,0.85,0,8.87,6.62,0,8.75,0.62,0,0,38.96,0,16.61,0,0.87,0,0,0,0,0,0
 84-94,0,0,66.59,0,0,0,1.63,0,4.22,0,7.71,1.79,0,3.41,0,0,0,7.87,0,21.2,0,1.3,0,0,0,0,0,0
 96-106,0,0,119.02,0,0,1.72,1.66,0,7.37,0,26.78,9.54,0,19.85,3.52,0,0,13.9,3.31,31.13,0,7.83,0,0,0.67,0.7,0.64,0
108-118,0,0,119.51,2.8,0.69,6.08,1.77,0.59,12.52,1.09,15.13,11.67,0,3.89,1.35,0,0,12.42,0,35.97,0,2.9,0,0,0,0,0,0
120,0,0,59.35,7.1,0,3.12,5.32,0,0,0,34.69,1.17,1.3,2.22,1.29,0,1.49,25.23,0,26.66,0,3.03,0,0,0,1.54,0,0
