stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,lateral_line,mesenchyme,mucous,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,163.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.99,229.14,8.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.66,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,11.06,7.78,5.12,0,0,16.2,0,0,0,0,0,0,0,0,0,0,0,0,87.35,6.27,0,28.15,0,0,0,0,0,0,0,0,0
 10-12,0,5.51,0,0,0,10.52,0,0,0,0,0,0,0,0,0,0,0,0,121.06,0,0,36.23,0,0,0,6.05,0,0,0,0,0
 14-21,0,0,0,0,1.7,0,0,0,0,2.26,1.5,0,0,0,0,4.29,0,0.87,5.63,1.42,0,0,0,0.91,0,0,27.56,0,0,0,0
 24-34,0,0,0,0,0,1.1,0,0,0,2.56,0,0,0,0.64,0,0,0,2.41,13.51,0,0,0,1.11,0,0.65,0,8.78,0,0,0,0
 36-46,0,0,0,0,0,2.72,0,0,0,2.35,0,0,0,0,0,0.93,0,0,29.44,0,0,0,0,0,0,0,31.66,0,0,0,0
 48-58,0,0,0,0,0,13.42,0,0,0,3.55,0,0,0,0,0,1.22,0,0,40.65,0,0,0,0,0,0,0,17.76,0.4,0.87,0,0.85
 60-70,0,0,0,0.57,0,29.39,0,0,1.67,12.43,0,0,0,0,0,2.42,0,0,30.62,0,0,0,0,0,0,0,12.16,0,0,0,0
 72-82,0,0,0,2.55,0,24.84,0,0.6,0,1.44,0,0,1.42,0,0,1.64,0,0,40.79,0,0.5,0,0,0,0,0,7.67,0,0,0,0
 84-94,0,0,0,2.02,0.56,4.07,0,0,0,0,0.92,0.91,0,0,0,0,0,0,29.38,0,4.06,0,0.65,0,0,0,8.95,0,0,0,0
 96-106,0,0,0,0.61,1.91,7.32,0,0,0,14.32,0,0,0,0,2.29,4.45,0,0,25.31,0,0,0,1.31,0,0,0,0,0,0.78,0.56,0
108-118,0,0,0,1.6,1.01,7.29,4.23,0.41,0,11.6,1.06,0,0,0,0.76,3.94,0,0,11.52,0,0.78,0,1.66,0,0,0,0,0,1.06,3.76,0
120,0,0,0,0,1.81,38.4,0,0,0,0,0,0,0,0,0,1.5,1.46,0,23.53,1.18,0,0,20.87,0,0,0,0,0,1.54,0,0
