stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,24.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,108.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.94,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.02,0,0,11.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.21,0,0,0,23.54,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,7.29,0,0,27.23,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,2.11,1.21,0.94,0,0,0,0,0,0,0.81,0,0,0,0,1.79,0,0,13.87,0,0,0,0,0,0,0,3.39,0,3.94,5.52,0,0,3.41,0,0
 24-34,0,3.23,0,11.45,0,0,0,0.94,0,0,0,0,0,0,0.62,8.91,0,1.09,85.38,0,2.87,0,0,0,13.36,0,0,0.6,0,24.79,0,0,3.5,0,3.2
 36-46,0,0.65,1.17,12.62,0,0,0,11.16,0,0.76,0,0,0,0,0.72,9.55,0,1.1,97.96,1.31,1.69,1.21,0,0,0.76,0,0,0,0,22.11,0,0,0,0,0
 48-58,0,7.21,0,26.1,0.86,0,0,16.18,0,0,0,0,0,0,0.74,11.27,2.68,0.74,72.37,0,0,0.39,0,0,5.49,0,0,0,0,23.91,0,0,6.69,0,0
 60-70,0,0,0,43.21,0,2.25,0,16.18,0,0,0.9,0,0,0,0,9.76,0,0,90.58,0,1.16,6.36,0,0,3.05,0,0,0,0,11.14,0,0,5.04,0,7.79
 72-82,0,1.56,0,51.91,0,0,0,15,1.07,0,0.51,0,4.54,1.24,0.6,9.82,0.51,3.13,75.87,1.46,0.52,0,0,0,5.33,1.65,0,0,0,5.23,1.34,1.33,4.24,1.44,0.67
 84-94,0,0.63,0,33.05,0,0,1.6,14.44,0,0,0,0,0,0.71,0,24.6,0,4.09,33.2,0,6.33,0.97,0,0,3.07,0,0,0,0,6.69,0,0,3.62,0.64,0
 96-106,0,2.3,3.23,17.02,0,0,0,13.72,0,0,0,0,0,0,0.66,24.73,0,0.72,48.1,0,1.57,3.08,0,1.17,6.12,0,0,0.61,0,4.69,0,0,0.87,0,0
108-118,0,5.38,3.23,38.54,0,0,0,13.56,0,0,0.78,0.55,0,0,0.6,10.39,0,0,61.91,0,2.63,2.87,0,0,5.1,0,0,0,0,12.03,0,0,3.96,0,1.43
120,0,7.21,11.78,24.63,1.76,0,0,5.15,1.53,0,0,0,0,0,0,29.13,0,1.92,160.29,1.94,0,0,0,0,0,0,0,0,0,0,0,2.12,3.36,0,0
