stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching_gland,ionocyte,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord
  3-4,105.53,2850.77,0,0,0,0,0,0,0,0,0,0,0,0,0,40.11,0,0,0,0,0,0
  5-6,32.74,5390.65,8.02,0,0,0,0,0,7.31,0,0,0,695.33,0,117.42,7.49,0,0,0,0,0,0
  7-9,9.45,194.34,1158.41,0,0,18.55,0,0,3.75,0,0,0,11511.37,50.08,5927.48,18.22,83.91,0,25.66,0,0,0
 10-12,0,139.42,899.43,0,0,14,0,0,0,0,0,0,6833.25,28.6,6176.21,0,6.03,0,246.01,0,0,0
 14-21,0,0,0,203.28,11.56,1.11,0,11.53,0,13.42,135.79,25.46,28.63,10.41,212.82,0,0,276.32,0,19.81,49.44,0.81
 24-34,0,0,0,1.49,0,0,0,0,0,0,0,7.05,4.16,0,0,0,0,0,0,0,12.79,0
 36-46,0,0,0,0,0,0,1.34,0,0,0,0,0,5.73,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0.85,4.79,0,0,0,0,0,23.8,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,1.11,0.96,0,0,0,0,0,21.9,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,8.59,0,0,0,0,0,33.79,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0.91,0,0,0,0,0,8.8,0,0,0,0,0,0,0,0,1.3
 96-106,0,0,0,0,0,0,1.99,0,0,0,0,0,11.42,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,0.46,0,4.88,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,9.47,3.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
